,pot_type,count,CPUE,var,sd,min_l,max_l,t,p.value,boot_lo,boot_hi,size_cat
1,Cone,19,2.985192147,4.292760702,2.07189785,0,520,1.706611909,0.101256,2.275710532,4.11748489,0 - 520
2,Slinky,18,5.029431217,21.75972019,4.664731524,0,520,1.706611909,0.101256,3.562793922,8.538184,0 - 520
3,Cone,19,4.67481203,6.212189457,2.49242642,520,560,-0.165431032,0.869533041,3.667683298,5.824360023,520 - 560
4,Slinky,19,4.544569758,5.564509463,2.35892125,520,560,-0.165431032,0.869533041,3.591526301,5.64685084,520 - 560
5,Cone,19,5.750020886,4.051804584,2.012909482,560,600,-1.123353449,0.268800605,4.912587965,6.742703789,560 - 600
6,Slinky,19,5.051315789,3.298554843,1.816192402,560,600,-1.123353449,0.268800605,4.343992998,5.961502435,560 - 600
7,Cone,19,4.27307853,0.858363677,0.926479183,600,640,-3.022581565,0.004597556,3.845405201,4.658512663,600 - 640
8,Slinky,19,3.372953216,0.826650242,0.909203081,600,640,-3.022581565,0.004597556,2.960573459,3.787554309,600 - 640
9,Cone,19,4.024310777,3.624047949,1.903693239,640,1000,-2.761827401,0.010182009,3.248216864,4.866726816,640 - 1000
10,Slinky,19,2.663011696,0.991971557,0.995977689,640,1000,-2.761827401,0.010182009,2.236615273,3.09163124,640 - 1000
11,Cone,19,19.04736842,35.40152047,5.949917686,0,1000,-0.205791547,0.838204096,16.71703428,22.12182318,0 - 1000
12,Slinky,19,18.57894737,63.03842105,7.939673863,0,1000,-0.205791547,0.838204096,15.65282566,22.89896091,0 - 1000
