year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.719098534,0.164,0.04087024011126369,0.8008390142225273,0.6373580537774727,Nominal,0.719
1981,0.979633273,0.303,0.04087024011126369,1.0613737532225274,0.8978927927774727,Nominal,0.98
1982,1.240168011,0.486,0.04087024011126369,1.3219084912225274,1.1584275307774725,Nominal,1.24
1983,1.521355737,0.732,0.04087024011126369,1.6030962172225274,1.4396152567774725,Nominal,1.521
1984,1.304248047,0.538,0.04087024011126369,1.3859885272225274,1.2225075667774725,Nominal,1.304
1985,1.879533855,1.117,0.04087024011126369,1.9612743352225275,1.7977933747774726,Nominal,1.88
1986,1.580537188,0.79,0.04087024011126369,1.6622776682225275,1.4987967077774726,Nominal,1.581
1987,1.704393996,0.919,0.04087024011126369,1.7861344762225275,1.6226535157774726,Nominal,1.704
1988,1.579488313,0.789,0.04087024011126369,1.6612287932225274,1.4977478327774725,Nominal,1.579
1989,1.155881048,0.423,0.04087024011126369,1.2376215282225274,1.0741405677774725,Nominal,1.156
1990,1.401829404,0.621,0.04087024011126369,1.4835698842225273,1.3200889237774724,Nominal,1.402
1991,1.267161542,0.508,0.04087024011126369,1.3489020222225274,1.1854210617774725,Nominal,1.267
1992,1.468442433,0.682,0.04087024011126369,1.5501829132225275,1.3867019527774727,Nominal,1.468
1993,1.587301587,0.797,0.04087024011126369,1.6690420672225275,1.5055611067774726,Nominal,1.587
1994,0.992725,0.312,0.04087024011126369,1.0744654802225273,0.9109845197774726,Nominal,0.993
1995,0.838343,0.222,0.04087024011126369,0.9200834802225273,0.7566025197774726,Nominal,0.838
1996,0.730465,0.169,0.04087024011126369,0.8122054802225274,0.6487245197774727,Nominal,0.73
1997,0.683261329063774,0.17,0.019755968272571114,0.7227732656089162,0.6437493925186318,Nominal,0.683
1998,0.5092178649864536,0.106,0.009347525279752142,0.5279129155459579,0.49052281442694934,Nominal,0.509
1999,0.49056207857607764,0.088,0.00880262157894646,0.5081673217339706,0.47295683541818473,Nominal,0.491
2000,0.4974310588702781,0.136,0.010159546792855356,0.5177501524559889,0.4771119652845674,Nominal,0.497
2001,0.5499206643279335,0.141,0.013397461780789079,0.5767155878895117,0.5231257407663553,Nominal,0.55
2002,0.6762818080824807,0.149,0.015176928062015703,0.7066356642065121,0.6459279519584493,Nominal,0.676
2003,0.8212413838123214,0.27,0.023293560914013408,0.8678285056403482,0.7746542619842945,Nominal,0.821
2004,0.7197027895857864,0.122,0.014305037708071814,0.74831286500193,0.6910927141696428,Nominal,0.72
2005,0.721258517327488,0.185,0.01745946719644453,0.7561774517203771,0.686339582934599,Nominal,0.721
2006,0.7395984854316463,0.152,0.014609612064272632,0.7688177095601916,0.710379261303101,Nominal,0.74
2007,0.8452032097801843,0.27,0.024066074456864626,0.8933353586939136,0.797071060866455,Nominal,0.845
2008,0.9337575212490633,0.28,0.02509438258241011,0.9839462864138835,0.8835687560842431,Nominal,0.934
2009,0.8094546154457493,0.256,0.02776550942104912,0.8649856342878475,0.753923596603651,Nominal,0.809
2010,0.8795423076839225,0.721,0.04639968717591744,0.9723416820357573,0.7867429333320877,Nominal,0.88
2011,0.88433589428695,0.258,0.03316618980419677,0.9506682738953436,0.8180035146785565,Nominal,0.884
2012,0.925994876358852,0.247,0.029670939725544434,0.9853367558099408,0.8666529969077632,Nominal,0.926
2013,0.8030945552710068,0.255,0.02865682101255136,0.8604081972961095,0.7457809132459041,Nominal,0.803
2014,0.8356964328456762,0.258,0.03291547480359431,0.9015273824528648,0.7698654832384876,Nominal,0.836
2015,0.7715247284431608,0.208,0.027437922642878768,0.8264005737289183,0.7166488831574033,Nominal,0.772
2016,0.9207062294947799,0.325,0.040639861993887555,1.001985953482555,0.8394265055070047,Nominal,0.921
2017,0.7817106477455441,0.201,0.02983299810334504,0.8413766439522342,0.722044651538854,Nominal,0.782
2018,0.9314204081571066,0.25,0.03285432127426076,0.9971290507056281,0.8657117656085851,Nominal,0.931
2019,0.9152881929613381,1.39,0.07455835561354235,1.064404904188423,0.7661714817342534,Nominal,0.915
2020,0.8694864918839296,0.441,0.03518968382585269,0.939865859535635,0.7991071242322242,Nominal,0.869
2021,0.9428188945830192,0.685,0.04841944093087457,1.0396577764447683,0.84598001272127,Nominal,0.943
2022,0.9285901074523764,0.27,0.031788795980240335,0.992167699412857,0.8650125154918957,Nominal,0.929
