category,Mean,Lower_CI,Upper_CI
Overall total lbs/pot,42.8149986160263,36.8543568709546,49.749530918917934
Retained_&_Released,39.840090340909086,26.252362499999997,53.42781818181818
Retained_&_Released (Quota Limit),71.5475531707317,NA,NA
all_Retained,41.77941961582307,35.659979743298486,48.365641973152705
pot_&_ll_trip,37.89720931367066,28.26694699230769,48.04828155040606
pot_trip,45.58125509860135,38.534029909036775,53.370316801725835
