model,year,P,mean,q025,q975
Model1,2005,6,1727570.8293261414,1473441.053074822,2037728.0938341208
Model1,2006,6,2172791.794335783,1761987.1071072726,2694097.9508356447
Model1,2007,6,2739874.7724446105,2195670.4159340817,3418049.2574642366
Model1,2008,6,1769783.61277112,1480683.3495683868,2120683.534480565
Model1,2009,6,2476306.1418773737,2021943.927848396,3030366.0364662795
Model1,2010,6,2196092.9841457773,1841062.1048652742,2627559.184937619
Model1,2012,6,1851801.0423667987,1556066.398585572,2201059.4761606036
Model1,2013,6,2009979.505530933,1685751.086569661,2397412.515591101
Model1,2015,6,1886497.8927771877,1549390.4021692602,2306430.115381727
Model1,2017,6,2061720.0047632928,1674883.4163447383,2536156.9948372273
Model1,2018,6,2945189.1116180564,2397142.591081264,3594937.473391919
Model1,2019,6,3508220.448762254,2862631.412711671,4297275.980742608
Model1,2020,6,3069242.8975417106,2493206.0268003107,3773659.169302832
Model1,2022,6,3925208.1067965366,3263707.397743926,4716382.692755408
