year,sd,se,std_cpue
1997,0.0504,0.0076,0.1913012932140221
1998,0.0572,0.0086,0.20352955429786104
1999,0.0616,0.0093,0.19445815442120817
2000,0.0729,0.0104,0.1731410438809454
2001,0.0763,0.0115,0.25146188939760017
2002,0.059,0.0089,0.21507705049213338
2003,0.0532,0.008,0.23088656396414525
2004,0.0549,0.0083,0.21141230859209315
2005,0.0664,0.01,0.2577026798559629
2006,0.0531,0.008,0.21270862161085966
2007,0.0574,0.0087,0.2266311676506791
2008,0.0722,0.0109,0.22553437193615075
2009,0.0493,0.0074,0.21979947753954196
2010,0.06,0.009,0.2173171233340382
2011,0.0635,0.0096,0.2548210470569009
2012,0.0589,0.0089,0.27073917366941597
2013,0.0608,0.0092,0.20945739857267057
2014,0.0497,0.0075,0.20792450942882024
2015,0.053900000000000003,0.0081,0.1849086808915049
2016,0.0523,0.0081,0.20232271446097888
2017,0.0771,0.0119,0.227374829461947
2018,0.0668,0.0103,0.21479724541247544
2019,0.0551,0.0087,0.19204718975663126
2020,0.0834,0.0129,0.35855439645366516
