Source,Sex,age,weight
LL survey,Female,2,1.2749
LL fishery,Female,2,2.2386
LL survey,Male,2,1.1608
LL fishery,Male,2,1.6973
LL survey,Combined,2,1.2271
LL fishery,Combined,2,1.9078
LL survey,Female,3,1.5748
LL fishery,Female,3,2.062
LL survey,Male,3,1.4559
LL fishery,Male,3,1.9783
LL survey,Combined,3,1.5251
LL fishery,Combined,3,2.0214
LL survey,Female,4,1.9053
LL fishery,Female,4,2.4285
LL survey,Male,4,1.6975
LL fishery,Male,4,2.2447
LL survey,Combined,4,1.8197
LL fishery,Combined,4,2.3653
LL survey,Female,5,2.2531
LL fishery,Female,5,2.8454
LL survey,Male,5,1.9355
LL fishery,Male,5,2.3775
LL survey,Combined,5,2.117
LL fishery,Combined,5,2.6991
LL survey,Female,6,2.5329
LL fishery,Female,6,3.1065
LL survey,Male,6,2.1246
LL fishery,Male,6,2.5441
LL survey,Combined,6,2.3573
LL fishery,Combined,6,2.9243
LL survey,Female,7,2.9053
LL fishery,Female,7,3.3671
LL survey,Male,7,2.3186
LL fishery,Male,7,2.6923
LL survey,Combined,7,2.6647
LL fishery,Combined,7,3.1448
LL survey,Female,8,3.1068
LL fishery,Female,8,3.5802
LL survey,Male,8,2.4009
LL fishery,Male,8,2.7417
LL survey,Combined,8,2.7986
LL fishery,Combined,8,3.3069
LL survey,Female,9,3.4315
LL fishery,Female,9,3.7467
LL survey,Male,9,2.613
LL fishery,Male,9,2.8989
LL survey,Combined,9,3.1034
LL fishery,Combined,9,3.4823
LL survey,Female,10,3.6097
LL fishery,Female,10,3.8871000000000002
LL survey,Male,10,2.7127
LL fishery,Male,10,2.9096
LL survey,Combined,10,3.2421
LL fishery,Combined,10,3.5775
LL survey,Female,11,3.7234
LL fishery,Female,11,4.0029
LL survey,Male,11,2.7517
LL fishery,Male,11,3.0024
LL survey,Combined,11,3.301
LL fishery,Combined,11,3.6796
LL survey,Female,12,3.8561
LL fishery,Female,12,4.1758
LL survey,Male,12,2.8757
LL fishery,Male,12,3.0186
LL survey,Combined,12,3.4788
LL fishery,Combined,12,3.805
LL survey,Female,13,4.0357
LL fishery,Female,13,4.3333
LL survey,Male,13,2.8778
LL fishery,Male,13,3.1186
LL survey,Combined,13,3.5524
LL fishery,Combined,13,3.9442
LL survey,Female,14,4.2474
LL fishery,Female,14,4.4683
LL survey,Male,14,2.9968
LL fishery,Male,14,3.0624
LL survey,Combined,14,3.7385
LL fishery,Combined,14,4.0105
LL survey,Female,15,4.1986
LL fishery,Female,15,4.6457
LL survey,Male,15,2.9575
LL fishery,Male,15,3.1407
LL survey,Combined,15,3.6642
LL fishery,Combined,15,4.1359
LL survey,Female,16,4.5653
LL fishery,Female,16,4.7749
LL survey,Male,16,3.0604
LL fishery,Male,16,3.3018
LL survey,Combined,16,3.792
LL fishery,Combined,16,4.2357
LL survey,Female,17,4.6502
LL fishery,Female,17,4.9963
LL survey,Male,17,3.0076
LL fishery,Male,17,3.3137
LL survey,Combined,17,3.8616
LL fishery,Combined,17,4.4054
LL survey,Female,18,4.6647
LL fishery,Female,18,5.1791
LL survey,Male,18,3.1239
LL fishery,Male,18,3.3581
LL survey,Combined,18,3.9477
LL fishery,Combined,18,4.4888
LL survey,Female,19,5.2469
LL fishery,Female,19,5.2902
LL survey,Male,19,3.1444
LL fishery,Male,19,3.3846
LL survey,Combined,19,4.1915
LL fishery,Combined,19,4.5939
LL survey,Female,20,5.165
LL fishery,Female,20,5.4253
LL survey,Male,20,3.2555
LL fishery,Male,20,3.4124
LL survey,Combined,20,4.1912
LL fishery,Combined,20,4.6214
LL survey,Female,21,5.2417
LL fishery,Female,21,5.6233
LL survey,Male,21,3.1475
LL fishery,Male,21,3.4299
LL survey,Combined,21,4.1903
LL fishery,Combined,21,4.6905
LL survey,Female,22,5.2347
LL fishery,Female,22,5.6047
LL survey,Male,22,3.3219
LL fishery,Male,22,3.5202
LL survey,Combined,22,4.15
LL fishery,Combined,22,4.6989
LL survey,Female,23,5.5322
LL fishery,Female,23,5.9036
LL survey,Male,23,3.4778
LL fishery,Male,23,3.5317
LL survey,Combined,23,4.2802
LL fishery,Combined,23,4.9212
LL survey,Female,24,5.71
LL fishery,Female,24,5.8286
LL survey,Male,24,3.3325
LL fishery,Male,24,3.477
LL survey,Combined,24,4.4074
LL fishery,Combined,24,4.7733
LL survey,Female,25,5.8478
LL fishery,Female,25,5.9523
LL survey,Male,25,3.475
LL fishery,Male,25,3.6562
LL survey,Combined,25,4.4841
LL fishery,Combined,25,4.9773
LL survey,Female,26,6.1979
LL fishery,Female,26,5.9573
LL survey,Male,26,3.3792
LL fishery,Male,26,3.6553
LL survey,Combined,26,4.7019
LL fishery,Combined,26,4.8297
LL survey,Female,27,6.1424
LL fishery,Female,27,6.2173
LL survey,Male,27,3.3886
LL fishery,Male,27,3.6687
LL survey,Combined,27,4.6685
LL fishery,Combined,27,4.8665
LL survey,Female,28,6.4683
LL fishery,Female,28,6.3056
LL survey,Male,28,3.3468
LL fishery,Male,28,3.6767
LL survey,Combined,28,4.7514
LL fishery,Combined,28,5.0214
LL survey,Female,29,5.9902
LL fishery,Female,29,6.3498
LL survey,Male,29,3.4873
LL fishery,Male,29,3.6267
LL survey,Combined,29,4.474
LL fishery,Combined,29,4.9759
LL survey,Female,30,6.1419
LL fishery,Female,30,6.4076
LL survey,Male,30,3.7024
LL fishery,Male,30,3.6711
LL survey,Combined,30,4.5416
LL fishery,Combined,30,4.9884
LL survey,Female,31,6.8787
LL fishery,Female,31,6.1661
LL survey,Male,31,3.4555
LL fishery,Male,31,3.6428
LL survey,Combined,31,4.9878
LL fishery,Combined,31,4.8009
