year,index,Fmort,pred_rec,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.034382084570208325,0.9821254641927957,66.16921821813385,51.179091646086206,6.756603804991634,31.165606256772666
1976,1,0.034652634271040025,1.0128840316328416,64.65850404025197,50.11889987588318,6.62281617329967,30.4436834618326
1977,2,0.020265273831830414,1.0400675633000391,63.663368826715036,49.5454852502411,6.551787122018048,29.81516377688502
1978,3,0.02893059646809414,1.0739027268462717,62.82680736854554,48.839333500239476,6.4547514204287175,29.458124708355207
1979,4,0.04475574485465219,19.82975094674833,110.34101616347996,47.56028967550298,6.293624755139643,29.082624022969046
1980,5,0.0333723121405824,1.0848666960571896,113.4205302015629,46.729225831387964,6.237613846780239,29.336119484997045
1981,6,0.025900539003830443,1.1087280741270196,115.69774919927339,49.087044809810315,6.891330557031039,30.371432800722477
1982,7,0.02732576611573712,1.1384911234578823,116.84939836878378,62.475693253682145,9.685428802653743,35.86548889246437
1983,8,0.03429284296309173,1.1216967890960154,116.42107526876289,74.06629236426913,11.527281925695277,41.10523964451954
1984,9,0.028217446966192793,1.1082143139633662,114.88496869473914,84.57923012889937,13.111474655378892,46.859029717927335
1985,10,0.04005228806949986,1.0354733666406142,111.7889890758206,94.37010605102684,14.477444190284533,50.90463702710235
1986,11,0.05546874818802104,0.934686020947523,106.71412259011562,91.87519655847957,13.580876807903847,51.65172207505413
1987,12,0.05298789737160518,0.8004851202145149,100.69940991148061,86.96173514553766,12.419678668834846,49.967088484834015
1988,13,0.05839360385507482,0.6483677816189239,94.10953180976813,81.64947063544926,11.33558628401712,47.842845254395726
1989,14,0.05516300460103976,0.5341686050445774,87.35159325219173,76.40622598441536,10.363481003370286,44.94569323579165
1990,15,0.05153988545940131,0.45762951890043474,80.87117971646609,71.44071964901458,9.500046531795764,42.1914098694109
1991,16,0.06546216342811569,0.41880111077882065,74.16528414637476,65.97766182060599,8.623096435127847,39.26864923254707
1992,17,0.07705495492934658,0.4081256783026431,67.16198639535625,59.93992480961523,7.715079807263209,36.07267155701631
1993,18,0.1176752524967872,0.440514324745402,59.44261739266044,52.69099240644834,6.694915128563338,32.325476624960935
1994,19,0.11016147158816364,0.5644086162356525,52.50728961767397,45.822902029278204,5.760812472588262,27.984673302714913
1995,20,0.12345660035331431,0.7271495183268343,46.91163607778852,39.48406464575023,4.9194215808487725,24.301882447890165
1996,21,0.14608712415218214,0.8619287075555697,42.13317199782605,33.503090592266474,4.155137418105351,20.87323152502169
1997,22,0.17345295044082487,1.2675371212652187,38.87174756474331,27.976128445092094,3.478151421602492,17.690468112132216
1998,23,0.20172887228475647,1.5408004765434424,36.9670815676573,23.2156526751257,2.928369923843876,14.892208086972147
1999,24,0.15529294065185054,1.1835701037624309,35.661968361032386,20.33845886796049,2.6395317745644458,12.75424538203286
2000,25,0.17428670675663668,1.0036034421497582,34.67727903417994,18.636312426783288,2.51770102854797,11.751972455809897
2001,26,0.1354764135157038,0.7662340586757609,33.673196243294996,18.4278670458227,2.6160359251385885,11.226499126988134
2002,27,0.12723183504023192,0.7541046931313445,32.97939706034162,19.460038159117712,2.8880397816250007,11.302932464781744
2003,28,0.1241793973340115,1.0057881099007002,32.928110574324485,20.479233207442086,3.105097013710249,11.520444473931418
2004,29,0.1346809307217761,0.654166022298047,31.851506981973287,20.660094582223223,3.140653144604991,11.61715671174033
2005,30,0.12659081298201008,0.5975693605143612,30.602691787306632,20.270964921326254,3.0607930676992994,11.462406023937277
2006,31,0.12795101078342414,0.6355851957993398,29.49342445549707,19.631451427035106,2.9409927417319506,11.274408952386604
2007,32,0.09784772710032734,0.5512223747900892,28.482635793913957,19.549175125005483,2.9217302613227285,11.02127595493988
2008,33,0.09974418690637175,0.7031611796433612,28.014025073333137,19.462188116941576,2.891839783557279,10.923161846954025
2009,34,0.07438242946403559,0.7168775255445433,27.84593763269253,19.166430829289943,2.815025551303668,10.770750671277426
2010,35,0.07101653176474783,0.44519130159692133,27.189171135217236,18.931363843468954,2.7524560886136316,10.730228207907965
2011,36,0.05980899718759084,0.5104261534517869,26.78350782952809,18.788674828954232,2.7088415465647686,10.702161174362738
2012,37,0.06784802769689685,0.8288229337847355,27.17145555349958,18.70075506044181,2.685746233847429,10.738788605132326
2013,38,0.06639128527013982,0.9181792164631265,27.810303617449954,18.73469095986645,2.68863706518395,10.679521328933484
2014,39,0.05455433673212717,9.25331040946727,50.34503326041747,18.618978736591092,2.6534250205090233,10.765150208046993
2015,40,0.054781375972005816,1.2039153288246593,53.91912060603618,18.362585270974282,2.5980133532135907,11.399281949523795
2016,41,0.04455792047284614,1.0553930921171875,56.69520100734989,18.788804780782158,2.6839997093854318,12.351995433535931
2017,42,0.044908771731045974,0.9587708866819564,58.70277946233725,21.298019127937856,3.198273479261351,15.412213410399579
2018,NA,NA,NA,60.91499399404827,32.90736132112337,5.447543057671849,18.55905217988276
