Parameter,Estimate,se
fsh_logq,-17.949723989119132,0.029135736384165927
fsh_logq.1,-17.460427625016933,0.02149511420313593
srv_logq,-16.999273458864202,0.015884165791131846
mr_logq,-0.09363349587447681,0.009526516406040351
log_rbar,13.100498669411271,0.11310458784087839
log_rinit,13.465980445493386,0.17674677411659906
log_Fbar,-3.097361714370959,0.32332436194873254
log_spr_Fxx,-2.2360349085559523,0.2612574044793813
log_spr_Fxx.1,-2.4170703008556766,0.25183498705581386
log_spr_Fxx.2,-2.7690269713818263,0.24917981562304467
log_spr_Fxx.3,-3.131052271092485,0.2663501321987676
log_spr_Fxx.4,-3.534966440947688,0.310837946156564
pred_rec,1159398.8577994136,903776.8008662289
pred_rec.1,1313537.640022286,1134514.9993603928
pred_rec.2,7302162.639811212,4751824.272426516
pred_rec.3,1474919.9001203398,1395111.135746136
pred_rec.4,1391184.2071170514,1228571.5818902773
pred_rec.5,16320491.366925292,3136969.4439958897
pred_rec.6,1100306.0241193338,830161.6941180412
pred_rec.7,1042166.7929037589,746404.9486476536
pred_rec.8,1012516.4843564184,683515.7474893936
pred_rec.9,1031053.9549619356,663425.3383779393
pred_rec.10,1055204.207262552,654263.2629911304
pred_rec.11,1045918.5475249558,623009.0690521819
pred_rec.12,960273.6619485719,533359.7046545829
pred_rec.13,739211.1088100071,383141.6287688666
pred_rec.14,559754.6374326529,274003.2305097718
pred_rec.15,511824.01374290325,240929.41016548063
pred_rec.16,586888.2248320811,265514.0126258301
pred_rec.17,707842.8048522449,291750.7270858132
pred_rec.18,622874.2564861522,256277.53472793542
pred_rec.19,516755.1233506192,214908.49253506036
pred_rec.20,610759.2138796945,241493.90518155598
pred_rec.21,1052857.7305023249,300834.7018630952
pred_rec.22,888564.0144726759,341203.0300381861
pred_rec.23,2184368.3352798503,403566.32494954905
pred_rec.24,1257956.563089093,418585.79712812876
pred_rec.25,1449042.3481405112,394364.40345594636
pred_rec.26,1151282.1234988247,353237.30027495505
pred_rec.27,745860.6870095297,285570.64011276956
pred_rec.28,684025.3073427796,242368.81133693995
pred_rec.29,658798.3419094846,228608.08545324986
pred_rec.30,743299.7660144598,218480.81991763966
pred_rec.31,625184.1895994789,201522.98507764481
pred_rec.32,529690.0875349243,176554.90373797755
pred_rec.33,449505.58168848575,173793.1781567952
pred_rec.34,1300212.210258537,207194.5992866691
pred_rec.35,643540.422888476,164685.05249943273
pred_rec.36,246989.15531726644,96084.00306273878
pred_rec.37,366466.07956206374,113158.17779468915
pred_rec.38,510372.9872842884,144964.21924385394
pred_rec.39,673690.2388037682,191708.4001832798
pred_rec.40,1714709.7042121538,267162.2555451087
pred_rec.41,1190055.3805005215,322503.48099332076
pred_rec.42,1563448.7298999084,399780.95679383347
pred_rec.43,4783016.126000608,465744.7811933499
pred_rec.44,762996.0045160541,375261.61910968425
pred_rec.45,1201713.6109249245,467046.8203071425
pred_rec.46,1878110.6936443704,810820.6898246146
pred_rec.47,1424701.241886591,1028501.9201298038
