model,year,P,mean,q025,q975
Model1,2005,6,1742634.2795598756,1483523.4131231096,2058330.0664009368
Model1,2006,6,2193776.5443767346,1784907.946237973,2705548.028510326
Model1,2007,6,2746317.854418169,2195706.837657582,3425102.6987444554
Model1,2008,6,1771961.877821516,1485356.5778683866,2120573.5400672113
Model1,2009,6,2487625.8927635853,2027593.4026735409,3058174.20010239
Model1,2010,6,2197806.8358304477,1842438.2822108907,2625849.7558866716
Model1,2012,6,1853514.6496837793,1561704.118939313,2215414.0833065268
Model1,2013,6,2012168.6245623974,1689541.3860001594,2399435.6858824003
Model1,2015,6,1891841.6788818846,1548925.1790377228,2317207.593844036
Model1,2017,6,2064628.7252366876,1676965.6618604346,2540411.9168301933
Model1,2018,6,2947908.8295302927,2410113.0956677897,3603281.838994398
Model1,2019,6,3213890.8003262063,2575773.658305561,4007782.4114117343
Model1,2020,6,3131028.6825924297,2515692.301540786,3894470.3059335984
