year,tag_no,tag_batch_no,rel_date,rel_stat,rel_len,rel_bin,rec_date,rec_stat,rec_len,rec_bin,growth
2018,T-082308,26,2018-05-16,345731,47,45,2018-08-07,345731,57,55,10
2018,T-089116,26,2018-06-02,345631,45,45,2018-06-29,365630,47,45,2
2019,T-100402,28,2019-06-01,345603,47,45,2019-07-29,345603,48,50,1
2005,T-05-0697,16,2005-06-05,345731,51,50,2005-07-30,345731,53,55,2
2005,T-05-2520,16,2005-06-08,345701,52,50,2005-08-19,345631,55,55,3
2005,T-05-3062,16,2005-06-09,345701,52,50,2005-08-01,345701,52,50,0
2005,T-05-3111,16,2005-06-09,345701,51,50,2005-08-01,345701,52,50,1
2005,T-05-3157,16,2005-06-09,345701,52,50,2005-07-30,345631,53,55,1
2005,T-05-6663,16,2005-06-17,345701,51,50,2005-09-27,0,52,50,1
2005,T-05-6875,16,2005-06-18,345701,52,50,2005-08-01,345701,52,50,0
2007,T-025024,18,2007-06-05,345731,52,50,2007-08-17,345701,64,65,12
2008,T-031899,19,2008-06-09,345701,49,50,2008-06-22,345631,49,50,0
2009,T-037250,20,2009-06-06,345701,52,50,2009-06-21,345701,52,50,0
2009,T-037338,20,2009-06-06,345701,48,50,2010-07-31,345701,50,50,2
2009,T-037756,20,2009-06-07,345701,49,50,2009-06-20,345631,49,50,0
2009,T-037874,20,2009-06-07,345701,52,50,2009-08-03,345631,52,50,0
2009,T-037966,20,2009-06-07,345701,52,50,2009-08-20,0,54,55,2
2009,T-038040,20,2009-06-07,345701,52,50,2009-08-20,0,53,55,1
2009,T-041197,20,2009-06-19,345603,52,50,2009-08-03,345603,53,55,1
2010,T-045601,21,2010-06-08,345701,49,50,2010-08-06,345701,53,55,4
2010,T-046142,21,2010-06-09,345701,50,50,2010-08-06,345701,51,50,1
2010,T-047790,21,2010-06-16,345631,48,50,2010-06-20,345631,48,50,0
2010,T-049079,21,2010-06-19,345631,52,50,2010-08-03,345631,53,55,1
2012,T-051711,22,2012-05-26,345701,51,50,2012-07-26,345731,52,50,1
2012,T-052987,22,2012-05-28,345701,49,50,2012-06-05,345631,50,50,1
2012,T-053151,22,2012-05-28,345701,51,50,2012-06-11,345631,51,50,0
2012,T-053880,22,2012-05-30,345701,52,50,2012-07-27,345701,55,55,3
2013,T-059999,23,2013-05-25,345701,52,50,2013-08-03,345701,59,60,7
2013,T-060372,23,2013-05-26,345701,51.5,50,2013-07-30,345701,53,55,1.5
2013,T-061465,23,2013-05-28,345701,48,50,2013-08-04,345631,51,50,3
2013,T-062126,23,2013-05-30,345631,52,50,2013-06-04,345631,52,50,0
2013,T-063904,23,2013-06-04,345631,49,50,2013-08-04,345701,50,50,1
2013,T-064250,23,2013-06-04,345631,52,50,2013-08-04,345701,52,50,0
2013,T-065727,23,2013-06-10,345631,51,50,2013-08-01,345631,52,50,1
2013,T-065869,23,2013-06-10,345631,51,50,2013-08-01,345631,51,50,0
2015,T-069260,24,2015-05-26,345701,51,50,2015-07-26,345631,52,50,1
2015,T-069551,24,2015-05-26,345701,49,50,2015-07-29,345701,51,50,2
2017,T-073550,25,2017-05-17,345803,52,50,2017-07-31,345731,52,50,0
2017,T-075059,25,2017-05-19,345701,50,50,2017-08-04,345701,52,50,2
2017,T-075076,25,2017-05-19,345701,51,50,2017-08-01,345731,52,50,1
2017,T-077130,25,2017-05-22,345701,48,50,2017-08-01,345631,65,65,17
2017,T-077189,25,2017-05-22,345701,52,50,2017-08-03,345701,53,55,1
2018,T-081819,26,2018-05-16,345731,51,50,2018-10-19,0,53,55,2
2018,T-082303,26,2018-05-16,345731,48,50,2018-08-07,345731,50,50,2
2018,T-084178,26,2018-05-19,345701,52,50,2018-08-09,345701,52,50,0
