model,year,P,mean,q025,q975
Model1,2005,6,1743117.9701306266,1481964.4787250166,2056049.9406736621
Model1,2006,6,2192115.04509544,1783474.788723357,2701013.596049256
Model1,2007,6,2745976.627519107,2201031.625116907,3424629.936050797
Model1,2008,6,1770379.6337845947,1481290.6828220577,2116844.988241821
Model1,2009,6,2483001.376242357,2029333.1900498557,3040300.764752333
Model1,2010,6,2198513.145683306,1843156.1332152653,2625616.3874853253
Model1,2012,6,1856453.059079933,1559530.5656551248,2213287.4064638354
Model1,2013,6,2010782.1497880858,1692086.0584526577,2396305.4108447693
Model1,2015,6,1890894.9063152915,1554902.8391236274,2314619.247131022
Model1,2017,6,2062354.1148063838,1679242.542469889,2533661.143854548
Model1,2018,6,3012228.7280321647,2448224.228108018,3702534.542881386
Model1,2019,6,3142733.4401957123,2524929.270634768,3892565.216391429
