year,bt_cpue,var,cpue
1980,0.719098534,8e-4,0.719
1981,0.979633273,8e-4,0.98
1982,1.240168011,8e-4,1.24
1983,1.521355737,8e-4,1.521
1984,1.304248047,8e-4,1.304
1985,1.879533855,8e-4,1.88
1986,1.580537188,8e-4,1.581
1987,1.704393996,8e-4,1.704
1988,1.579488313,8e-4,1.579
1989,1.155881048,8e-4,1.156
1990,1.401829404,8e-4,1.402
1991,1.267161542,8e-4,1.267
1992,1.468442433,8e-4,1.468
1993,1.587301587,8e-4,1.587
1994,0.992725,8e-4,0.993
1995,0.838343,8e-4,0.838
1996,0.730465,8e-4,0.73
1997,0.6138948401278038,4.1e-4,0.614
1998,0.47850324856678905,2.5e-4,0.479
1999,0.4517305576680064,2.4e-4,0.452
2000,0.4504329348380679,2.4e-4,0.45
2001,0.4878353918276782,3e-4,0.488
2002,0.5971918189300146,4.7e-4,0.597
2003,0.7092404291448042,7.1e-4,0.709
2004,0.7154029954292657,6.7e-4,0.715
2005,0.6431658238798147,5.5e-4,0.643
2006,0.6254085049915471,5.2e-4,0.625
2007,0.7168789212906475,7.7e-4,0.717
2008,0.7880353375280107,9.6e-4,0.788
2009,0.7043499094620138,8.7e-4,0.704
2010,0.6513562094335378,8.1e-4,0.651
2011,0.744149727111009,0.00119,0.744
2012,0.811787827798166,0.00135,0.812
2013,0.7832601803376699,0.00122,0.783
2014,0.7691365407670848,0.00133,0.769
2015,0.7171413935685446,0.00103,0.717
2016,0.8003181662724358,0.00152,0.8
2017,0.6623635565402173,0.00101,0.662
2018,0.7844933939745188,0.0014,0.784
2019,0.6076890678459552,7.8e-4,0.608
2020,0.616992849395477,6.6e-4,0.617
2021,0.6044544644349086,7.3e-4,0.604
