age,probability
2,0.01
3,0.03
4,0.09
5,0.23
6,0.44
7,0.65
8,0.81
9,0.9
10,0.95
11,0.97
12,0.98
13,0.99
14,0.99
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
