Source,Sex,year,age,n,proportion,N_year,N,weight,proportion_scaled,Age
LL fishery,Female,1988,2,0,0,NA,NA,NA,NA,2
LL fishery,Female,1988,3,0,0,NA,NA,NA,NA,3
LL fishery,Female,1988,4,0,0,NA,NA,NA,NA,4
LL fishery,Female,1988,5,0,0,NA,NA,NA,NA,5
LL fishery,Female,1988,6,0,0,NA,NA,NA,NA,6
LL fishery,Female,1988,7,0,0,NA,NA,NA,NA,7
LL fishery,Female,1988,8,0,0,NA,NA,NA,NA,8
LL fishery,Female,1988,9,0,0,NA,NA,NA,NA,9
LL fishery,Female,1988,10,0,0,NA,NA,NA,NA,10
LL fishery,Female,1988,11,0,0,NA,NA,NA,NA,11
LL fishery,Female,1988,12,0,0,NA,NA,NA,NA,12
LL fishery,Female,1988,13,0,0,NA,NA,NA,NA,13
LL fishery,Female,1988,14,0,0,NA,NA,NA,NA,14
LL fishery,Female,1988,15,0,0,NA,NA,NA,NA,15
LL fishery,Female,1988,16,0,0,NA,NA,NA,NA,16
LL fishery,Female,1988,17,0,0,NA,NA,NA,NA,17
LL fishery,Female,1988,18,0,0,NA,NA,NA,NA,18
LL fishery,Female,1988,19,0,0,NA,NA,NA,NA,19
LL fishery,Female,1988,20,0,0,NA,NA,NA,NA,20
LL fishery,Female,1988,21,0,0,NA,NA,NA,NA,21
LL fishery,Female,1988,22,0,0,NA,NA,NA,NA,22
LL fishery,Female,1988,23,0,0,NA,NA,NA,NA,23
LL fishery,Female,1988,24,0,0,NA,NA,NA,NA,24
LL fishery,Female,1988,25,0,0,NA,NA,NA,NA,25
LL fishery,Female,1988,26,0,0,NA,NA,NA,NA,26
LL fishery,Female,1988,27,0,0,NA,NA,NA,NA,27
LL fishery,Female,1988,28,0,0,NA,NA,NA,NA,28
LL fishery,Female,1988,29,0,0,NA,NA,NA,NA,29
LL fishery,Female,1988,30,0,0,NA,NA,NA,NA,30
LL fishery,Female,1988,31,0,0,NA,NA,NA,NA,31
LL fishery,Female,1988,32,0,0,NA,NA,NA,NA,32
LL fishery,Female,1988,33,0,0,NA,NA,NA,NA,33
LL fishery,Female,1988,34,0,0,NA,NA,NA,NA,34
LL fishery,Female,1988,35,0,0,NA,NA,NA,NA,35
LL fishery,Female,1988,36,0,0,NA,NA,NA,NA,36
LL fishery,Female,1988,37,0,0,NA,NA,NA,NA,37
LL fishery,Female,1988,38,0,0,NA,NA,NA,NA,38
LL fishery,Female,1988,39,0,0,NA,NA,NA,NA,39
