year,bt_cpue,var,cpue
1980,0.719098534,0.00103,0.719
1981,0.979633273,0.00103,0.98
1982,1.240168011,0.00103,1.24
1983,1.521355737,0.00103,1.521
1984,1.304248047,0.00103,1.304
1985,1.879533855,0.00103,1.88
1986,1.580537188,0.00103,1.581
1987,1.704393996,0.00103,1.704
1988,1.579488313,0.00103,1.579
1989,1.155881048,0.00103,1.156
1990,1.401829404,0.00103,1.402
1991,1.267161542,0.00103,1.267
1992,1.468442433,0.00103,1.468
1993,1.587301587,0.00103,1.587
1994,0.992725,0.00103,0.993
1995,0.838343,0.00103,0.838
1996,0.730465,0.00103,0.73
1997,0.6450830414976501,5.7e-4,0.645
1998,0.49599014153374615,3.5e-4,0.496
1999,0.4786609892762758,3.4e-4,0.479
2000,0.46016952904562985,3.1e-4,0.46
2001,0.4953096976330596,3.8e-4,0.495
2002,0.601489868397895,5.8e-4,0.601
2003,0.7320918419956095,9e-4,0.732
2004,0.7056151744410164,7.9e-4,0.706
2005,0.67716498037514,7.3e-4,0.677
2006,0.7010186094189309,7.7e-4,0.701
2007,0.7936941468829132,0.00108,0.794
2008,0.8603320049125889,0.00129,0.86
2009,0.76898105643753,0.00115,0.769
2010,0.7286923904091208,0.00107,0.729
2011,0.8500443394465447,0.00162,0.85
2012,0.8911347656280254,0.00173,0.891
2013,0.8183141579521839,0.00145,0.818
2014,0.8451113092836068,0.00165,0.845
2015,0.7589330012058765,0.00128,0.759
2016,0.8794655785058364,0.00189,0.879
2017,0.7437800973720562,0.00132,0.744
2018,0.9179491291237376,0.00199,0.918
2019,0.6583449782266757,9.6e-4,0.658
2020,0.6368463612483132,7.9e-4,0.637
2021,0.6096173711145868,7.7e-4,0.61
