Sex,fork_length_cm,round_kg,round_lb,easterncut_lb_0.63
Sexes combined,40,0.67,1.4770954,0.930570102
Sexes combined,41,0.73,1.6093725999999997,1.013904738
Sexes combined,42,0.78,1.7196036,1.083350268
Sexes combined,43,0.84,1.8518807999999998,1.1666849039999998
Sexes combined,44,0.9,1.9841579999999999,1.2500195399999998
Sexes combined,45,0.97,2.1384814,1.347243282
Sexes combined,46,1.03,2.2707585999999997,1.4305779179999998
Sexes combined,47,1.1,2.425082,1.5278016600000002
Sexes combined,48,1.18,2.6014515999999994,1.6389145079999996
Sexes combined,49,1.25,2.755775,1.73613825
Sexes combined,50,1.33,2.9321446,1.847251098
Sexes combined,51,1.42,3.1305603999999994,1.9722530519999997
Sexes combined,52,1.5,3.3069299999999995,2.0833658999999995
Sexes combined,53,1.59,3.5053457999999997,2.208367854
Sexes combined,54,1.69,3.7258077999999997,2.3472589139999998
Sexes combined,55,1.78,3.9242236,2.4722608679999998
Sexes combined,56,1.88,4.144685599999999,2.6111519279999995
Sexes combined,57,1.99,4.3871937999999995,2.763932094
Sexes combined,58,2.1,4.629702,2.91671226
Sexes combined,59,2.21,4.8722102,3.0694924259999996
Sexes combined,60,2.32,5.114718399999999,3.2222725919999995
Sexes combined,61,2.44,5.379272799999999,3.3889418639999995
Sexes combined,62,2.57,5.665873399999999,3.5695002419999993
Sexes combined,63,2.7,5.952474,3.75005862
Sexes combined,64,2.83,6.2390745999999995,3.9306169979999996
Sexes combined,65,2.97,6.5477213999999995,4.125064482
Sexes combined,66,3.11,6.8563681999999995,4.319511965999999
Sexes combined,67,3.25,7.1650149999999995,4.51395945
Sexes combined,68,3.4,7.495707999999999,4.722296039999999
Sexes combined,69,3.56,7.8484472,4.9445217359999996
Sexes combined,70,3.72,8.2011864,5.166747431999999
Sexes combined,71,3.88,8.5539256,5.388973128
Sexes combined,72,4.05,8.928710999999998,5.6250879299999985
Sexes combined,73,4.23,9.3255426,5.875091838
Sexes combined,74,4.41,9.722374199999999,6.1250957459999995
Sexes combined,75,4.59,10.1192058,6.375099654
Sexes combined,76,4.78,10.5380836,6.638992668
Sexes combined,77,4.97,10.956961399999999,6.902885681999999
Sexes combined,78,5.17,11.397885399999998,7.1806678019999985
Sexes combined,79,5.38,11.860855599999999,7.4723390279999995
Sexes combined,80,5.59,12.323825799999998,7.764010253999999
Sexes combined,81,5.8,12.786795999999999,8.055681479999999
Sexes combined,82,6.03,13.2938586,8.375130918
Sexes combined,83,6.25,13.778875,8.680691249999999
Sexes combined,84,6.48,14.2859376,9.000140688
Sexes combined,85,6.72,14.815046399999998,9.333479231999998
Sexes combined,86,6.97,15.366201399999998,9.680706881999999
Sexes combined,87,7.22,15.917356399999997,10.027934531999998
Sexes combined,88,7.47,16.468511399999997,10.375162181999999
Sexes combined,89,7.74,17.0637588,10.750168043999999
Sexes combined,90,8,17.63696,11.1112848
