year,estimate,sd,q025,q975
2005,1.7431179701306265,0.14611524431562853,1.4819644787250166,2.0560499406736623
2006,2.19211504509544,0.23475337119630135,1.783474788723357,2.7010135960492563
2007,2.745976627519107,0.31195275942086625,2.201031625116907,3.424629936050797
2008,1.7703796337845947,0.1622796470880138,1.4812906828220578,2.116844988241821
2009,2.483001376242357,0.2604050025994142,2.0293331900498557,3.0403007647523332
2010,2.198513145683306,0.20096249062521213,1.8431561332152653,2.6256163874853256
2012,1.856453059079933,0.16842302871736994,1.5595305656551248,2.2132874064638353
2013,2.010782149788086,0.17975643535778302,1.6920860584526576,2.3963054108447692
2015,1.8908949063152916,0.1955773005015547,1.5549028391236275,2.3146192471310223
2017,2.062354114806384,0.22068862844068712,1.679242542469889,2.533661143854548
2018,3.0122287280321647,0.31891195364726205,2.448224228108018,3.702534542881386
2019,3.142733440195712,0.3504924206096975,2.524929270634768,3.892565216391429
