year,total_pounds
1985,3097663.05
1986,4179554
1987,3950758
1988,4248769.08
1989,3788706.47
1990,3345474.52
1991,3988216.06
1992,4324484.21
1993,5833467.92
1994,4743154.0200000005
1995,4596444.34
1996,4733091.51
1997,4803348.58
1998,4769641.13
1999,3102599.34
2000,3175731.34
2001,2260023.28
2002,2113297.2600000002
2003,2115959.8
2004,2330568.47
2005,2157537.4
2006,2140709.53
2007,1615751.1400000001
2008,1634896.94
2009,1192224.79
2010,1130810.98
2011,942116.34
2012,1061384.58
2013,1038609.03
2014,847376.29
2015,845485.74
2016,696897.11
2017,744470.3200000001
2018,874788.93
2019,909341.24
2020,1101094.17
