Source,Sex,age,weight
LL survey,Female,2,1.246
LL fishery,Female,2,2.438
LL survey,Male,2,1.1917
LL fishery,Male,2,1.6189
LL survey,Combined,2,1.2233
LL fishery,Combined,2,1.9114
LL survey,Female,3,1.5714
LL fishery,Female,3,2.0275
LL survey,Male,3,1.4479
LL fishery,Male,3,2.0055
LL survey,Combined,3,1.5232
LL fishery,Combined,3,2.0162
LL survey,Female,4,1.9571
LL fishery,Female,4,2.4703
LL survey,Male,4,1.7073
LL fishery,Male,4,2.2863
LL survey,Combined,4,1.8469
LL fishery,Combined,4,2.4064
LL survey,Female,5,2.2887
LL fishery,Female,5,2.9853
LL survey,Male,5,1.9862
LL fishery,Male,5,2.4517
LL survey,Combined,5,2.151
LL fishery,Combined,5,2.8034
LL survey,Female,6,2.6406
LL fishery,Female,6,3.2219
LL survey,Male,6,2.192
LL fishery,Male,6,2.5953
LL survey,Combined,6,2.4283
LL fishery,Combined,6,3.0026
LL survey,Female,7,3.0138
LL fishery,Female,7,3.4612
LL survey,Male,7,2.3938
LL fishery,Male,7,2.7264
LL survey,Combined,7,2.7556
LL fishery,Combined,7,3.2073
LL survey,Female,8,3.1817
LL fishery,Female,8,3.6463
LL survey,Male,8,2.445
LL fishery,Male,8,2.7771
LL survey,Combined,8,2.86
LL fishery,Combined,8,3.3633
LL survey,Female,9,3.4819
LL fishery,Female,9,3.7992
LL survey,Male,9,2.6384
LL fishery,Male,9,2.9177
LL survey,Combined,9,3.1434
LL fishery,Combined,9,3.518
LL survey,Female,10,3.6489
LL fishery,Female,10,3.9321
LL survey,Male,10,2.7288
LL fishery,Male,10,2.9419
LL survey,Combined,10,3.2724
LL fishery,Combined,10,3.6173
LL survey,Female,11,3.7585
LL fishery,Female,11,4.0247
LL survey,Male,11,2.7488
LL fishery,Male,11,3.0309
LL survey,Combined,11,3.3192
LL fishery,Combined,11,3.7073
LL survey,Female,12,3.8693
LL fishery,Female,12,4.2104
LL survey,Male,12,2.9004
LL fishery,Male,12,3.04
LL survey,Combined,12,3.4873
LL fishery,Combined,12,3.8463
LL survey,Female,13,4.0196
LL fishery,Female,13,4.3422
LL survey,Male,13,2.8682
LL fishery,Male,13,3.1283
LL survey,Combined,13,3.5503
LL fishery,Combined,13,3.9549
LL survey,Female,14,4.2455
LL fishery,Female,14,4.4989
LL survey,Male,14,3.0332
LL fishery,Male,14,3.0934
LL survey,Combined,14,3.7428
LL fishery,Combined,14,4.0381
LL survey,Female,15,4.1884
LL fishery,Female,15,4.6829
LL survey,Male,15,2.9452
LL fishery,Male,15,3.156
LL survey,Combined,15,3.6663
LL fishery,Combined,15,4.1701
LL survey,Female,16,4.5575
LL fishery,Female,16,4.7966
LL survey,Male,16,3.0663
LL fishery,Male,16,3.3535
LL survey,Combined,16,3.7791
LL fishery,Combined,16,4.2836
LL survey,Female,17,4.6753
LL fishery,Female,17,5.0228
LL survey,Male,17,3.0301
LL fishery,Male,17,3.3657
LL survey,Combined,17,3.8832
