year,fsh_cpue,var,cpue
1980,0.719098534,0.144,0.719
1981,0.979633273,0.267,0.98
1982,1.240168011,0.428,1.24
1983,1.521355737,0.644,1.521
1984,1.304248047,0.474,1.304
1985,1.879533855,0.984,1.88
1986,1.580537188,0.696,1.581
1987,1.704393996,0.809,1.704
1988,1.579488313,0.695,1.579
1989,1.155881048,0.372,1.156
1990,1.401829404,0.547,1.402
1991,1.267161542,0.447,1.267
1992,1.468442433,0.6,1.468
1993,1.587301587,0.702,1.587
1994,0.992725,0.274,0.993
1995,0.838343,0.196,0.838
1996,0.730465,0.149,0.73
1997,0.6840602210193336,0.124,0.684
1998,0.4961243138225056,0.065,0.496
1999,0.47770770797956646,0.059,0.478
2000,0.4654252249956145,0.056,0.465
2001,0.5132607031579198,0.061,0.513
2002,0.6368334454084558,0.082,0.637
2003,0.7636470890745822,0.14,0.764
2004,0.7088576834686173,0.097,0.709
2005,0.7151913670611668,0.145,0.715
2006,0.7409423445579091,0.139,0.741
2007,0.8530346056335216,0.249,0.853
2008,0.9346537800042296,0.255,0.935
2009,0.7719346822512081,0.183,0.772
2010,0.7521776787903889,0.185,0.752
2011,0.90296502128704,0.243,0.903
2012,0.9379485981199137,0.233,0.938
2013,0.8262938929082871,0.191,0.826
2014,0.8503729440309357,0.183,0.85
2015,0.7649828496925347,0.15,0.765
2016,0.9059104765268349,0.194,0.906
2017,0.8193659456936587,0.34,0.819
2018,0.9683940572117397,0.255,0.968
2019,0.7166335415398919,0.198,0.717
