Source,Sex,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LL survey,Female,262,197,149,213,181,301,388,395,507,417,436,340,366,320,365,407,256,286,293,318,347,347,269,377
LL survey,Male,270,157,169,191,264,354,396,345,368,319,339,273,253,285,311,319,280,275,201,237,250,215,198,239
LL survey,Sex combined,532,354,318,404,445,655,784,740,875,736,775,613,619,605,676,726,536,561,494,555,597,562,467,616
LL fishery,Female,0,0,0,0,0,1267,1029,1544,1247,1076,986,1015,1046,980,919,924,656,777,753,924,830,813,805,784
LL fishery,Male,0,0,0,0,0,1028,768,771,503,605,510,517,514,548,547,600,654,561,452,502,590,503,492,511
LL fishery,Sex combined,0,0,0,0,0,2295,1797,2315,1750,1681,1496,1532,1560,1528,1466,1524,1310,1338,1205,1426,1420,1316,1297,1295
