Source,Sex,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LL fishery,Female,NA,NA,NA,NA,NA,1267,1029,1544,1247,1076,986,1015,1046,980,919,924,656,777,753,924,830,813
LL fishery,Male,NA,NA,NA,NA,NA,1028,768,771,503,605,510,517,514,548,547,600,654,561,452,502,590,503
LL fishery,Sex combined,NA,NA,NA,NA,NA,2295,1797,2315,1750,1681,1496,1532,1560,1528,1466,1524,1310,1338,1205,1426,1420,1316
LL survey,Female,264,198,156,216,183,304,391,410,512,420,437,340,366,320,365,407,261,289,293,318,351,353
LL survey,Male,273,158,184,193,275,362,399,367,369,319,339,273,253,285,311,319,289,276,204,238,260,228
LL survey,Sex combined,537,356,340,409,458,666,790,777,881,739,776,613,619,605,676,726,550,565,497,556,611,581
Pot survey,Female,NA,NA,NA,NA,NA,24,NA,NA,NA,277,375,322,436,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pot survey,Male,NA,NA,NA,NA,NA,24,NA,NA,NA,240,275,209,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pot survey,Sex combined,NA,NA,NA,NA,NA,48,NA,NA,NA,517,650,531,698,NA,NA,NA,NA,NA,NA,NA,NA,NA
