Source,Sex,age,weight
LL survey,Female,2,1.2296
LL fishery,Female,2,2.415
LL survey,Male,2,1.1795
LL fishery,Male,2,1.667
LL survey,Combined,2,1.2086
LL fishery,Combined,2,1.9475
LL survey,Female,3,1.5527
LL fishery,Female,3,2.0317
LL survey,Male,3,1.4193
LL fishery,Male,3,1.9694
LL survey,Combined,3,1.5003
LL fishery,Combined,3,2.001
LL survey,Female,4,1.8812
LL fishery,Female,4,2.4404
LL survey,Male,4,1.7009
LL fishery,Male,4,2.2607
LL survey,Combined,4,1.8044
LL fishery,Combined,4,2.3784
LL survey,Female,5,2.2534
LL fishery,Female,5,2.9288
LL survey,Male,5,1.9658
LL fishery,Male,5,2.4104
LL survey,Combined,5,2.1307
LL fishery,Combined,5,2.7578
LL survey,Female,6,2.5866
LL fishery,Female,6,3.181
LL survey,Male,6,2.1683
LL fishery,Male,6,2.5761
LL survey,Combined,6,2.3957
LL fishery,Combined,6,2.9768
LL survey,Female,7,2.9802
LL fishery,Female,7,3.4366
LL survey,Male,7,2.3682
LL fishery,Male,7,2.7148
LL survey,Combined,7,2.7272
LL fishery,Combined,7,3.191
LL survey,Female,8,3.1479
LL fishery,Female,8,3.6259
LL survey,Male,8,2.438
LL fishery,Male,8,2.7701
LL survey,Combined,8,2.8407
LL fishery,Combined,8,3.3472
LL survey,Female,9,3.468
LL fishery,Female,9,3.778
LL survey,Male,9,2.6355
LL fishery,Male,9,2.9122
LL survey,Combined,9,3.1342
LL fishery,Combined,9,3.505
LL survey,Female,10,3.6297
LL fishery,Female,10,3.9059
LL survey,Male,10,2.7311
LL fishery,Male,10,2.9361
LL survey,Combined,10,3.2619
LL fishery,Combined,10,3.5994
LL survey,Female,11,3.7464
LL fishery,Female,11,4.0145
LL survey,Male,11,2.7457
LL fishery,Male,11,3.0131
LL survey,Combined,11,3.3114
LL fishery,Combined,11,3.6924
LL survey,Female,12,3.8763
LL fishery,Female,12,4.1888
LL survey,Male,12,2.8902
LL fishery,Male,12,3.0346
LL survey,Combined,12,3.4898
LL fishery,Combined,12,3.8256
LL survey,Female,13,4.0174
LL fishery,Female,13,4.3408
LL survey,Male,13,2.8733
LL fishery,Male,13,3.1257
LL survey,Combined,13,3.5434
LL fishery,Combined,13,3.9532
LL survey,Female,14,4.2375
LL fishery,Female,14,4.4966
LL survey,Male,14,3.0303
LL fishery,Male,14,3.0888
LL survey,Combined,14,3.7419
LL fishery,Combined,14,4.0408
LL survey,Female,15,4.1846
LL fishery,Female,15,4.6549
LL survey,Male,15,2.9689
LL fishery,Male,15,3.1496
LL survey,Combined,15,3.6709
LL fishery,Combined,15,4.1512
LL survey,Female,16,4.5796
LL fishery,Female,16,4.7845
LL survey,Male,16,3.0677
LL fishery,Male,16,3.3472
LL survey,Combined,16,3.8
LL fishery,Combined,16,4.2554
LL survey,Female,17,4.6571
LL fishery,Female,17,5.0217
LL survey,Male,17,3.0216
LL fishery,Male,17,3.3473
LL survey,Combined,17,3.8652
LL fishery,Combined,17,4.4503
LL survey,Female,18,4.6754
LL fishery,Female,18,5.2208
LL survey,Male,18,3.1442
LL fishery,Male,18,3.3903
LL survey,Combined,18,3.9749
LL fishery,Combined,18,4.5283
LL survey,Female,19,5.3147
LL fishery,Female,19,5.3298
LL survey,Male,19,3.1471
LL fishery,Male,19,3.407
LL survey,Combined,19,4.208
LL fishery,Combined,19,4.6306
LL survey,Female,20,5.1639
LL fishery,Female,20,5.4571
LL survey,Male,20,3.2756
LL fishery,Male,20,3.4371
LL survey,Combined,20,4.2008
LL fishery,Combined,20,4.658
LL survey,Female,21,5.3675
LL fishery,Female,21,5.6929
LL survey,Male,21,3.2298
LL fishery,Male,21,3.4536
LL survey,Combined,21,4.2668
LL fishery,Combined,21,4.7338
LL survey,Female,22,5.2969
LL fishery,Female,22,5.7033
LL survey,Male,22,3.3411
LL fishery,Male,22,3.5751
LL survey,Combined,22,4.1995
LL fishery,Combined,22,4.7817
LL survey,Female,23,5.5977
LL fishery,Female,23,5.9688
LL survey,Male,23,3.4691
LL fishery,Male,23,3.5647
LL survey,Combined,23,4.2943
LL fishery,Combined,23,4.9688
LL survey,Female,24,5.7101
LL fishery,Female,24,5.9094
LL survey,Male,24,3.3784
LL fishery,Male,24,3.4965
LL survey,Combined,24,4.4315
LL fishery,Combined,24,4.7719
LL survey,Female,25,5.7918
LL fishery,Female,25,6.0768
LL survey,Male,25,3.4896
LL fishery,Male,25,3.6831
LL survey,Combined,25,4.484
LL fishery,Combined,25,5.0371
LL survey,Female,26,6.3128
LL fishery,Female,26,6.0728
LL survey,Male,26,3.3889
LL fishery,Male,26,3.7009
LL survey,Combined,26,4.7464
LL fishery,Combined,26,4.9189
LL survey,Female,27,6.1
LL fishery,Female,27,6.2621
LL survey,Male,27,3.4493
LL fishery,Male,27,3.687
LL survey,Combined,27,4.6667
LL fishery,Combined,27,4.9266
LL survey,Female,28,6.4359
LL fishery,Female,28,6.3495
LL survey,Male,28,3.3554
LL fishery,Male,28,3.7239
LL survey,Combined,28,4.7841
LL fishery,Combined,28,5.0928
LL survey,Female,29,6.0659
LL fishery,Female,29,6.3976
LL survey,Male,29,3.5106
LL fishery,Male,29,3.6378
LL survey,Combined,29,4.4897
LL fishery,Combined,29,5.0111
LL survey,Female,30,6.1419
LL fishery,Female,30,6.4508
LL survey,Male,30,3.7084
LL fishery,Male,30,3.6742
LL survey,Combined,30,4.5389
LL fishery,Combined,30,4.9975
LL survey,Female,31,6.9213
LL fishery,Female,31,6.1798
LL survey,Male,31,3.4404
LL fishery,Male,31,3.6459
LL survey,Combined,31,5.0135
LL fishery,Combined,31,4.8261
