Source,Sex,age,weight
LL survey,Female,2,1.2544
LL fishery,Female,2,2.2386
LL survey,Male,2,1.1759
LL fishery,Male,2,1.6973
LL survey,Combined,2,1.2193
LL fishery,Combined,2,1.9078
LL survey,Female,3,1.5746
LL fishery,Female,3,2.062
LL survey,Male,3,1.4613
LL fishery,Male,3,1.9783
LL survey,Combined,3,1.5282
LL fishery,Combined,3,2.0214
LL survey,Female,4,1.8982
LL fishery,Female,4,2.4285
LL survey,Male,4,1.6958
LL fishery,Male,4,2.2447
LL survey,Combined,4,1.8143
LL fishery,Combined,4,2.3653
LL survey,Female,5,2.2452
LL fishery,Female,5,2.8454
LL survey,Male,5,1.9308
LL fishery,Male,5,2.3775
LL survey,Combined,5,2.1125
LL fishery,Combined,5,2.6991
LL survey,Female,6,2.5351
LL fishery,Female,6,3.1065
LL survey,Male,6,2.1312
LL fishery,Male,6,2.5441
LL survey,Combined,6,2.3639
LL fishery,Combined,6,2.9243
LL survey,Female,7,2.9207
LL fishery,Female,7,3.3671
LL survey,Male,7,2.3458
LL fishery,Male,7,2.6923
LL survey,Combined,7,2.689
LL fishery,Combined,7,3.1448
LL survey,Female,8,3.1274
LL fishery,Female,8,3.5802
LL survey,Male,8,2.4165
LL fishery,Male,8,2.7417
LL survey,Combined,8,2.818
LL fishery,Combined,8,3.3069
LL survey,Female,9,3.4462
LL fishery,Female,9,3.7467
LL survey,Male,9,2.6214
LL fishery,Male,9,2.8989
LL survey,Combined,9,3.1161
LL fishery,Combined,9,3.4823
LL survey,Female,10,3.6228
LL fishery,Female,10,3.8871000000000002
LL survey,Male,10,2.7202
LL fishery,Male,10,2.9096
LL survey,Combined,10,3.2522
LL fishery,Combined,10,3.5775
LL survey,Female,11,3.7391
LL fishery,Female,11,4.0029
LL survey,Male,11,2.7458
LL fishery,Male,11,3.0024
LL survey,Combined,11,3.3091
LL fishery,Combined,11,3.6796
LL survey,Female,12,3.8688
LL fishery,Female,12,4.1758
LL survey,Male,12,2.8724
LL fishery,Male,12,3.0186
LL survey,Combined,12,3.4821
LL fishery,Combined,12,3.805
LL survey,Female,13,4.0367
LL fishery,Female,13,4.3333
LL survey,Male,13,2.8809
LL fishery,Male,13,3.1186
LL survey,Combined,13,3.5558
LL fishery,Combined,13,3.9442
LL survey,Female,14,4.2529
LL fishery,Female,14,4.4683
LL survey,Male,14,3.0024
LL fishery,Male,14,3.0624
LL survey,Combined,14,3.7413
LL fishery,Combined,14,4.0105
LL survey,Female,15,4.1986
LL fishery,Female,15,4.6457
LL survey,Male,15,2.9592
LL fishery,Male,15,3.1407
LL survey,Combined,15,3.6683
LL fishery,Combined,15,4.1359
LL survey,Female,16,4.5646
LL fishery,Female,16,4.7749
LL survey,Male,16,3.064
LL fishery,Male,16,3.3018
LL survey,Combined,16,3.7934
LL fishery,Combined,16,4.2357
LL survey,Female,17,4.6473
LL fishery,Female,17,4.9963
LL survey,Male,17,3.0128
LL fishery,Male,17,3.3137
LL survey,Combined,17,3.8628
LL fishery,Combined,17,4.4054
LL survey,Female,18,4.6647
LL fishery,Female,18,5.1791
LL survey,Male,18,3.1276
LL fishery,Male,18,3.3581
LL survey,Combined,18,3.9558
LL fishery,Combined,18,4.4888
LL survey,Female,19,5.265
LL fishery,Female,19,5.2902
LL survey,Male,19,3.135
LL fishery,Male,19,3.3846
LL survey,Combined,19,4.2
LL fishery,Combined,19,4.5939
LL survey,Female,20,5.1769
LL fishery,Female,20,5.4253
LL survey,Male,20,3.2555
LL fishery,Male,20,3.4124
LL survey,Combined,20,4.1892
LL fishery,Combined,20,4.6214
LL survey,Female,21,5.2915
LL fishery,Female,21,5.6233
LL survey,Male,21,3.1503
LL fishery,Male,21,3.4299
LL survey,Combined,21,4.2031
LL fishery,Combined,21,4.6905
LL survey,Female,22,5.2745
LL fishery,Female,22,5.6047
LL survey,Male,22,3.3364
LL fishery,Male,22,3.5202
LL survey,Combined,22,4.1805
LL fishery,Combined,22,4.6989
LL survey,Female,23,5.5348
LL fishery,Female,23,5.9036
LL survey,Male,23,3.4769
LL fishery,Male,23,3.5317
LL survey,Combined,23,4.2822
LL fishery,Combined,23,4.9212
LL survey,Female,24,5.71
LL fishery,Female,24,5.8286
LL survey,Male,24,3.3505
LL fishery,Male,24,3.477
LL survey,Combined,24,4.4288
LL fishery,Combined,24,4.7733
LL survey,Female,25,5.876
LL fishery,Female,25,5.9523
LL survey,Male,25,3.4859
LL fishery,Male,25,3.6562
LL survey,Combined,25,4.5003
LL fishery,Combined,25,4.9773
LL survey,Female,26,6.2959
LL fishery,Female,26,5.9573
LL survey,Male,26,3.3817
LL fishery,Male,26,3.6553
LL survey,Combined,26,4.7293
LL fishery,Combined,26,4.8297
