year,estimate,sd,q025,q975
2005,1.6617468885449262,0.13078679407709015,1.4306751415071777,1.941103089492668
2006,2.1221497684290074,0.21582346703144736,1.7502749847319017,2.596061652186238
2007,2.7272216026236458,0.2932901764455148,2.2229177987810234,3.3633184400559317
2008,1.7098146286678724,0.15001282374835387,1.443578792166894,2.030727001012978
2009,2.4386249777665814,0.2371563522620225,2.020539293060098,2.9524819297670075
2010,2.1762932028532864,0.18720255214164436,1.8417601503953975,2.574836682989909
2012,1.8096529026822905,0.14782017174254677,1.54637273525933,2.124260453414728
2013,1.9851710402870062,0.16670350037192247,1.6907968569023357,2.348800527682936
2015,1.853151568151067,0.17097340232360342,1.5530119319045665,2.222442465076222
2017,2.045887239819121,0.19381077004716257,1.7028884717630444,2.4635017333493296
2018,2.896191710228448,0.2664545829246599,2.4267026167460153,3.4614682761667104
2019,3.2226555273320363,0.32424914251403736,2.655532805332973,3.9191147566253934
2020,3.134740341560046,0.35279936100216164,2.513042017474112,3.894164392240084
