"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1997","Stratum_1"," [kg]",144.222968726079,4.61260022567541,0.0321964697479804
"1","1998","Stratum_1"," [kg]",154.506428127225,4.80420622493024,0.0313016292042029
"1","1999","Stratum_1"," [kg]",150.797746621463,4.7842210152903,0.0319372452911721
"1","2000","Stratum_1"," [kg]",125.249616793696,3.91294721610589,0.0314447737380067
"1","2001","Stratum_1"," [kg]",185.770500239115,5.93445882229228,0.0321592651057048
"1","2002","Stratum_1"," [kg]",160.840564472195,4.9805761014869,0.0311695370636595
"1","2003","Stratum_1"," [kg]",172.986539990373,5.33211928149048,0.0310271802293882
"1","2004","Stratum_1"," [kg]",158.258511130672,4.89509567567428,0.0311343115765807
"1","2005","Stratum_1"," [kg]",187.562902199807,5.81022605501644,0.0311838078640866
"1","2006","Stratum_1"," [kg]",159.440745289268,4.9438895506996,0.0312138784528357
"1","2007","Stratum_1"," [kg]",166.657329467812,5.15610786569271,0.0311450508007184
"1","2008","Stratum_1"," [kg]",163.927951119454,5.17561006066549,0.0317860716937264
"1","2009","Stratum_1"," [kg]",163.435393239401,5.08370017366842,0.0313132551408021
"1","2010","Stratum_1"," [kg]",160.174282591025,4.95397118267926,0.0311339903056888
"1","2011","Stratum_1"," [kg]",189.535227106732,5.96957615696405,0.0317053290067186
"1","2012","Stratum_1"," [kg]",201.095132067918,6.22185351316845,0.0311449313284723
"1","2013","Stratum_1"," [kg]",153.874771634439,4.86861121691294,0.0318544471508917
"1","2014","Stratum_1"," [kg]",155.991731010672,4.86823862909773,0.0314161755939827
"1","2015","Stratum_1"," [kg]",133.7850402713,4.21511530506077,0.031719542165233
"1","2016","Stratum_1"," [kg]",150.532168325014,4.81764813289427,0.0322214189061705
"1","2017","Stratum_1"," [kg]",167.228676570681,5.51416019624202,0.0332002340209117
"1","2018","Stratum_1"," [kg]",155.557280378385,5.22911214567235,0.0338516310030025
"1","2019","Stratum_1"," [kg]",140.361728747184,4.80915233909619,0.0345125208315017
"1","2020","Stratum_1"," [kg]",266.242950956626,8.53418294324264,0.0322685256939121
"1","2021","Stratum_1"," [kg]",251.875646321417,8.6639476221963,0.0346521503243674
