Year_Landed,Whole_Pounds,Permit_Count,CFEC_Value,year,exvessel_mil_usd
1987,3861546,158,3393051,1987,3.393051
1988,4196601,149,4440742,1988,4.440742
1989,3767518,151,3536524,1989,3.536524
1990,3254262,120,3056335,1990,3.056335
1991,3955189,127,5548053,1991,5.548053
1992,4267781,115,5400361,1992,5.400361
1993,5795974,120,6589916,1993,6.589916
1994,4708584,121,8056003,1994,8.056003
1995,4543272,121,8973014,1995,8.973014
1996,4676032,122,10099526,1996,10.099526
1997,4752285,122,12205269,1997,12.205269
1998,4689713,116,7404191,1998,7.404191
1999,3043272,112,6540456,1999,6.540456
2000,3081797,111,8590922,2000,8.590922
2001,2142619,111,4584488,2001,4.584488
2002,2009379,109,5250863,2002,5.250863
2003,2003083,108,4782621,2003,4.782621
2004,2230396,108,4581195,2004,4.581195
2005,2027187,106,5035637,2005,5.035637
2006,2031227,105,5070276,2006,5.070276
2007,1501483,103,3728517,2007,3.728517
2008,1513043,96,4379712,2008,4.379712
2009,1069217,88,3305811,2009,3.305811
2010,1054279,87,3808392,2010,3.808392
2011,882777,83,4363255,2011,4.363255
2012,969775,79,3871100,2012,3.8711
2013,972740,78,2644856,2013,2.644856
2014,773534,78,2695661,2014,2.695661
2015,781702,78,3074607,2015,3.074607
2016,646329,78,2770998,2016,2.770998
2017,714404,78,3633326,2017,3.633326
2018,855600,78,4163237,2018,4.163237
2019,909341,78,3950856,2019,3.950856
2020,1101091,75,3097794,2020,3.097794
2021,NA,NA,NA,2021,2.821949
2022,1182518.5014,71,3605475.22892277,2022,3.60547522892277
