Year,Annual_harvest_objective,Equal_quota_share,No._of_days
1985,2380952,NA,3
1986,2380952,NA,2
1987,2380952,NA,1
1988,2380952,NA,1
1989,2380952,NA,1
1990,2380952,NA,1
1991,2380952,NA,1
1992,2380952,NA,1
1993,2380952,NA,1
1994,4761905,38889,30
1995,4761905,38889,30
1996,4761905,38889,61
1997,4800000,39300,76
1998,4800000,41700,76
1999,3120000,28000,76
2000,3120000,28600,76
2001,2184000,19600,76
2002,2005000,18400,76
2003,2005000,18565,93
2004,2245000,20787,93
2005,2053000,19400,93
2006,2053000,19550,93
2007,1488000,14500,93
2008,1508000,15710,93
2009,1071000,12170,93
2010,1063000,12218,93
2011,880000,10602,93
2012,975000,12342,93
2013,1002162,12848,93
2014,745774,9561,93
2015,786748,10087,93
2016,650754,8343,93
2017,720250,9234,93
2018,855416,10967,93
2019,920093,11796,93
2020,1108003,14773,93
2021,1137867,15587,93
2022,1233633,16899,93
2023,1395686,19121,93
