year,total_tagged,recaptured_longline_survey,observed_longline_survey,other_dead_tags,adj_total_tagged,observed_fishery,recaptured_fishery
2003,7783,48,15181,0,7735,190097,529
2004,6357,45,12122,0,6312,219924,518
2005,7118,60,17204,14,7044,168708,609
2006,6075,26,14413,10,6039,183694,456
2007,6158,33,15548,12,6113,145551,317
2008,5449,42,15325,4,5403,155415,432
2009,7071,34,15195,9,7028,104365,283
2010,7443,54,15202,5,7384,103549,325
2012,7583,66,18754,5,7512,97159,380
2013,6787,86,,8,6693,98912,374
2015,6962,63,,7,6892,70031,242
2017,,,,,,,
