year,spawn_biom,retro
1975,43.122296962212914,retro_0
1976,43.13613287681181,retro_0
1977,43.73696377219711,retro_0
1978,43.850887365955735,retro_0
1979,44.49571634093809,retro_0
1980,47.25482803482433,retro_0
1981,48.76971601365058,retro_0
1982,52.816654342553896,retro_0
1983,58.15888144108934,retro_0
1984,62.61909107715609,retro_0
1985,66.27730584769995,retro_0
1986,66.89623738170616,retro_0
1987,65.36299351128133,retro_0
1988,62.703602838378735,retro_0
1989,59.347387290596494,retro_0
1990,55.89598288432871,retro_0
1991,52.40088821971898,retro_0
1992,48.40722728593429,retro_0
1993,43.999339127581415,retro_0
1994,39.054329202178835,retro_0
1995,34.87588192694063,retro_0
1996,31.00200428619158,retro_0
1997,27.273576005321292,retro_0
1998,23.966222407066113,retro_0
1999,21.12438339017063,retro_0
2000,19.610646769731353,retro_0
2001,18.63804097984198,retro_0
2002,18.374764564361968,retro_0
2003,18.387659939745664,retro_0
2004,18.292737782979817,retro_0
2005,17.95262041822447,retro_0
2006,17.460535667434804,retro_0
2007,16.850575698839002,retro_0
2008,16.36901814553124,retro_0
2009,15.926768717174074,retro_0
2010,15.55057622613086,retro_0
2011,15.236839987509896,retro_0
2012,15.107990011314396,retro_0
2013,14.890134932053403,retro_0
2014,14.643319327149998,retro_0
2015,14.484564629167927,retro_0
2016,14.251545178932199,retro_0
2017,14.339928965601409,retro_0
2018,15.068249472352342,retro_0
2019,15.635072835967415,retro_0
2020,17.07487018226796,retro_0
2021,19.03578526867926,retro_0
2022,20.91703235906924,retro_0
2023,22.711497515911,retro_0
1975,43.25427733589389,retro_1
1976,43.27549708596887,retro_1
1977,43.885897006190035,retro_1
1978,43.98564504989626,retro_1
1979,44.60831042095045,retro_1
1980,47.36107022352458,retro_1
1981,48.82751762442325,retro_1
1982,52.85774426927229,retro_1
1983,58.21279513234315,retro_1
1984,62.68917576473212,retro_1
1985,66.36949861372848,retro_1
1986,66.99080008232968,retro_1
