sigmaR,retro
0.5350455362220857,retro_0
0.5348664738410694,retro_1
0.5261648412066664,retro_2
0.51666274449365035,retro_3
0.46937483663188134,retro_4
0.47543312654414355,retro_5
0.4861707211607629,retro_6
0.49260573869509267,retro_7
0.47670620443057016,retro_8
0.48106400642314256,retro_9
0.466223342129607,retro_10
