year,spawn_biom,retro
1975,28.953735761660706,retro_0
1976,28.466467506568428,retro_0
1977,28.085618471046978,retro_0
1978,28.893989724116903,retro_0
1979,31.158979408542884,retro_0
1980,33.504405885494734,retro_0
1981,39.5024797496952,retro_0
1982,45.87226207912125,retro_0
1983,52.04139387738681,retro_0
1984,57.57524118525281,retro_0
1985,59.415317379169764,retro_0
1986,59.13836421085564,retro_0
1987,57.314551262092245,retro_0
1988,54.9158260446994,retro_0
1989,51.88706332230433,retro_0
1990,48.77678470567956,retro_0
1991,45.57178119706133,retro_0
1992,41.83063142795339,retro_0
1993,37.71455974701746,retro_0
1994,32.984563793710926,retro_0
1995,29.036039558421987,retro_0
1996,25.392390652003854,retro_0
1997,21.96002611347855,retro_0
1998,18.890042647837156,retro_0
1999,16.460357346962002,retro_0
2000,15.221735721671234,retro_0
2001,14.481426069177878,retro_0
2002,14.491540882007477,retro_0
2003,14.73945215841253,retro_0
2004,14.969258430734769,retro_0
2005,14.954918112302598,retro_0
2006,14.799670260605373,retro_0
2007,14.488942334270648,retro_0
2008,14.258061168202406,retro_0
2009,13.97119123973206,retro_0
2010,13.864743693472116,retro_0
2011,13.768675643988324,retro_0
2012,13.76029982909037,retro_0
2013,13.655780167240016,retro_0
2014,13.513907914089426,retro_0
2015,13.467271960372663,retro_0
2016,13.45912790661844,retro_0
2017,13.637281086250791,retro_0
2018,14.244467168501497,retro_0
2019,15.531103296130397,retro_0
2020,17.20305826056064,retro_0
2021,19.757404091870356,retro_0
2022,22.542162643779356,retro_0
2023,25.218404081308744,retro_0
2024,27.704988832921085,retro_0
1975,29.022194431243914,retro_1
1976,28.53557804021555,retro_1
1977,28.154974205400773,retro_1
1978,28.964817524666927,retro_1
1979,31.234507871962123,retro_1
1980,33.584435944762916,retro_1
1981,39.59424737401737,retro_1
1982,45.97572772297036,retro_1
1983,52.15616150427626,retro_1
1984,57.700699227067304,retro_1
1985,59.5425306922513,retro_1
1986,59.26469802224135,retro_1
1987,57.438706408600304,retro_1
1988,55.03726821111221,retro_1
1989,52.00549501601034,retro_1
1990,48.891882407882925,retro_1
1991,45.683291972771904,retro_1
1992,41.93831341704977,retro_1
1993,37.81841976590204,retro_1
1994,33.08453857313857,retro_1
1995,29.132356950656934,retro_1
1996,25.485060251732143,retro_1
1997,22.048732304466263,retro_1
1998,18.97474061960976,retro_1
1999,16.5415856219025,retro_1
2000,15.30149565308315,retro_1
2001,14.561524199404598,retro_1
2002,14.573763548280796,retro_1
2003,14.825012933195453,retro_1
2004,15.058068497596434,retro_1
2005,15.0461026142442,retro_1
2006,14.892179680848693,retro_1
2007,14.582039450691473,retro_1
2008,14.351636216604676,retro_1
2009,14.065730142010619,retro_1
2010,13.962677906867437,retro_1
2011,13.870450803287888,retro_1
2012,13.869407326652285,retro_1
2013,13.77333197306695,retro_1
2014,13.639610141179984,retro_1
2015,13.603987749542995,retro_1
2016,13.609987020830607,retro_1
2017,13.792251285679287,retro_1
2018,14.424570007715197,retro_1
2019,15.726856177530117,retro_1
2020,17.325277578488436,retro_1
2021,19.865584212005455,retro_1
2022,22.51477982874516,retro_1
2023,25.056198974971945,retro_1
1975,29.138461556983295,retro_2
1976,28.644695368125287,retro_2
1977,28.252348912737375,retro_2
1978,29.054063437819732,retro_2
1979,31.331907077404814,retro_2
1980,33.683952761083134,retro_2
1981,39.73680190773494,retro_2
1982,46.1573141205764,retro_2
1983,52.37202720313603,retro_2
1984,57.9463961613018,retro_2
1985,59.765274636455864,retro_2
1986,59.455638677831054,retro_2
1987,57.60006806966746,retro_2
1988,55.17622963488478,retro_2
1989,52.12976524969638,retro_2
1990,49.005520316632996,retro_2
1991,45.788557257293164,retro_2
1992,42.036644482337444,retro_2
1993,37.911039242976294,retro_2
1994,33.17188869321671,retro_2
1995,29.214457494635937,retro_2
1996,25.56117049745088,retro_2
1997,22.118298522815763,retro_2
1998,19.03750031594206,retro_2
1999,16.597910182213816,retro_2
2000,15.352953839136275,retro_2
