Year,Fmort
1975,0.03579352149420092
1976,0.03609527136143568
1977,0.021114268352799614
1978,0.029905864196315506
1979,0.04537824894588739
1980,0.03185118326151551
1981,0.02240591857144447
1982,0.023116483690040646
1983,0.030706463049455953
1984,0.02702166693614344
1985,0.04134956486702606
1986,0.05706898754982117
1987,0.05380744861453722
1988,0.0598511419998748
1989,0.05642136563773684
1990,0.05230943977659477
1991,0.06631526269850335
1992,0.0781128636866722
1993,0.11925704226410487
1994,0.11143502223254476
1995,0.11914218610726537
1996,0.1388735187780122
1997,0.15951843696332016
1998,0.1822549371774238
1999,0.13799984452504313
2000,0.15122963673681356
2001,0.11324223372087278
2002,0.10539029976480002
2003,0.10300014981242858
2004,0.11087301945376797
2005,0.10247439855131904
2006,0.10175411985820641
2007,0.0785999832490182
2008,0.08087462788396589
2009,0.06112992670665641
2010,0.05906131399309741
2011,0.05028333438153899
2012,0.057779210773772204
2013,0.058008499792430515
2014,0.048043099426488454
2015,0.04876990798266074
2016,0.040388680131000006
2017,0.04273911750392523
2018,0.04893615649552172
2019,0.04792400652411292
2020,0.051728905545407974
2021,0.04368417329901511
2022,0.04332394219638738
2023,0.04058744767085425
2024,0.03886518792416917
