"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1997","Stratum_1"," [kg]",143.259970683151,4.46204691747761,0.0313344229201574
"1","1998","Stratum_1"," [kg]",153.582714965165,4.69491927759844,0.0307555589489281
"1","1999","Stratum_1"," [kg]",148.384820665915,4.55255918281628,0.0308644995652581
"1","2000","Stratum_1"," [kg]",125.646397981045,3.90424927199419,0.0312592004703129
"1","2001","Stratum_1"," [kg]",187.43416205803,5.82448992255843,0.0312631183705579
"1","2002","Stratum_1"," [kg]",161.500463248132,4.97787302164851,0.0310093649094253
"1","2003","Stratum_1"," [kg]",173.668140976624,5.32756054197851,0.0308630825875058
"1","2004","Stratum_1"," [kg]",159.281368683196,4.90315452146407,0.0309695072840692
"1","2005","Stratum_1"," [kg]",190.442792097291,5.87964430935753,0.0310630489210309
"1","2006","Stratum_1"," [kg]",160.527340894837,4.96140709892005,0.0310964262329367
"1","2007","Stratum_1"," [kg]",168.133927406813,5.18326938423337,0.0310180545435485
"1","2008","Stratum_1"," [kg]",166.873798242478,5.19131460458388,0.0313014143615323
"1","2009","Stratum_1"," [kg]",165.1671640969,5.12041933673992,0.0311930663700443
"1","2010","Stratum_1"," [kg]",162.186492660523,5.00293854189898,0.0310359565964167
"1","2011","Stratum_1"," [kg]",189.924879881039,5.88468675832453,0.0311722630423973
"1","2012","Stratum_1"," [kg]",202.894616589411,6.24181380166988,0.0309513283587098
"1","2013","Stratum_1"," [kg]",154.953568204154,4.79537155784953,0.0311349837217619
"1","2014","Stratum_1"," [kg]",156.321584852539,4.8542591100491,0.0312435555069377
"1","2015","Stratum_1"," [kg]",134.63815954196,4.16779372035156,0.031145476760517
"1","2016","Stratum_1"," [kg]",151.65155481114,4.82641148713483,0.0320245039020203
"1","2017","Stratum_1"," [kg]",167.887040743666,5.39476357946554,0.0323343401212325
"1","2018","Stratum_1"," [kg]",156.221489631709,4.95207819631598,0.0318967817788868
"1","2019","Stratum_1"," [kg]",142.775815079012,4.78956765175217,0.0337700819181508
"1","2020","Stratum_1"," [kg]",268.084246357093,8.56407509117632,0.0321425362510081
"1","2021","Stratum_1"," [kg]",252.832893499396,8.59491464931196,0.034226250669895
