age,prop_fem,prop_mature
2,0.59,0.01
3,0.6,0.03
4,0.55,0.1
5,0.54,0.23
6,0.53,0.45
7,0.58,0.66
8,0.56,0.82
9,0.59,0.9
10,0.58,0.94
11,0.57,0.97
12,0.58,0.98
13,0.58,0.99
14,0.56,0.99
15,0.56,1
16,0.47,1
17,0.51,1
18,0.53,1
19,0.49,1
20,0.46,1
21,0.48,1
22,0.42,1
23,0.37,1
24,0.45,1
25,0.43,1
26,0.43,1
27,0.47,1
28,0.41,1
29,0.39,1
30,0.34,1
31,0.44,1
32,0.48,1
33,0.35,1
34,0.3,1
35,0.52,1
36,0.35,1
37,0.45,1
38,0.28,1
39,0.34,1
40,0.31,1
41,0.34,1
26,0.25,1
42,NA,1
