year,catch,fsh_cpue,srv1_cpue,srv2_cpue,mr,index
1980,189685.37052,0.326177342234128,NA,NA,NA,0
1981,67366.123064,0.444353815566616,NA,NA,NA,1
1982,116604.441848,0.562530288445512,NA,NA,NA,2
1983,106837.245312,0.690074791457304,NA,NA,NA,3
1984,214429.721304,0.591596480134824,NA,NA,NA,4
1985,1405075.1781756,0.85254152035716,NA,NA,NA,5
1986,1895812.257968,0.716919024179296,NA,NA,NA,6
1987,1792032.222736,0.773099481433632,NA,NA,NA,7
1988,1927207.66453536,0.7164432628702959,0.229,NA,NA,8
1989,1718526.94514024,0.524298396324416,0.126,NA,NA,9
1990,1517480.47847584,0.635858603019168,0.122,NA,NA,10
1991,1809022.89908752,0.574774338158864,0.158,NA,NA,11
1992,1961551.44178232,0.6660737400693361,0.115,NA,NA,12
1993,2646014.38076864,0.719987301450504,0.228,NA,NA,13
1994,2151456.71823984,0.4502921182,0.172,NA,NA,14
1995,2084910.38106928,0.380265678056,0.152,NA,NA,15
1996,2146892.4442039197,0.33133308028,0.16,NA,NA,16
1997,2178760.48909936,0.31107628402475235,NA,0.19,NA,17
1998,2163471.0594389597,0.22774289072594625,NA,0.2,NA,18
1999,1407314.23982928,0.21515794964375423,NA,0.2,NA,19
2e3,1440486.32997328,0.21120615089128564,NA,0.17,NA,20
2001,1025128.4796217598,0.2324912399878504,NA,0.25,NA,21
2002,958574.7307579201,0.28971792511339006,NA,0.22,NA,22
2003,959782.4376016,0.35019140810006677,NA,0.23,1633115.34,23
2004,1057127.2134442402,0.3297373807810075,NA,0.21,1734101.552,24
2005,978641.7043408,0.3264579456783628,NA,0.26,1748021.4935414772,25
2006,971008.7171317599,0.3406911701231544,NA,0.21,2221469.065391876,26
2007,732891.7910948801,0.38376084642253716,NA,0.23,2738941.7355539724,27
2008,741576.17280848,0.42395661139184193,NA,0.22,1782936.968839785,28
2009,540783.62694568,0.3556312026173511,NA,0.22,2446445.351542431,29
2010,512926.81404016,0.3436504636443911,NA,0.22,2238725.035257171,30
2011,427336.43489328,0.4074168555249367,NA,0.25,NA,31
2012,481435.55441136,0.41802095276752854,NA,0.27,1859510.460010474,32
2013,471104.74713576003,0.38511812299663983,NA,0.21,1841542.962682877,33
2014,384363.10613368003,0.39425038025354964,NA,0.21,NA,34
2015,383505.56777808,0.3432307836821674,NA,0.18,1765036.0834180024,35
2016,316106.95391912,0.4109137448687601,NA,0.2,NA,36
2017,337685.78138944,0.35970606124997406,NA,0.23,2122673.2232927093,37
