year,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2002,9e-4,0.0022,0.0112,0.0331,0.0649,0.0933,0.0899,0.0908,0.0641,0.0469,0.0391,0.0434,0.0202,0.0168,0.0142,0.0275,0.0172,0.0176,0.0159,0.0155,0.0151,0.0232,0.0211,0.0198,0.0228,0.0224,0.0198,0.0181,0.1131
2003,0,0.005,0.0111,0.065,0.0961,0.1494,0.1066,0.0816,0.0583,0.0439,0.0233,0.0211,0.0178,0.0094,0.0172,0.0128,0.0117,0.0139,0.0178,0.0161,0.0189,0.015,0.0178,0.0117,0.0161,0.0167,0.02,0.0161,0.09
2004,0,9e-4,0.0172,0.037,0.118,0.1141,0.1357,0.096,0.0586,0.0431,0.0271,0.0181,0.0181,0.009,0.0125,0.009,0.0095,0.0116,0.0103,0.0155,0.0164,0.0146,0.0159,0.0125,0.0164,0.0159,0.0181,0.0155,0.1133
2005,0.0011,0.0011,0.0097,0.0383,0.0662,0.1188,0.0845,0.1108,0.0788,0.06,0.0348,0.0263,0.0188,0.0171,0.0137,0.0143,0.0069,0.0143,0.0103,0.012,0.0143,0.0166,0.0166,0.016,0.0166,0.0137,0.0194,0.0166,0.1325
2006,0,0.003,0.0053,0.0297,0.0606,0.0885,0.1158,0.1105,0.0909,0.0754,0.0523,0.0392,0.0255,0.0208,0.016,0.0166,0.0131,0.016,0.0137,0.0148,0.016,0.0119,0.0125,0.0172,0.0143,0.0119,0.0089,0.0113,0.0885
2007,0,0.002,0.006,0.0247,0.0487,0.0607,0.07,0.1413,0.084,0.086,0.0727,0.036,0.0367,0.0233,0.0127,0.0113,0.0167,0.0167,0.008,0.014,0.012,0.0107,0.012,0.0133,0.018,0.0173,0.012,0.0133,0.12
2008,0,0.0013,0.0046,0.0228,0.0286,0.0645,0.084,0.0866,0.1139,0.0911,0.0684,0.0586,0.0273,0.0267,0.0195,0.0137,0.0137,0.0117,0.0085,0.0111,0.0091,0.0169,0.0163,0.0143,0.0195,0.0156,0.013,0.0247,0.1139
2009,0,0,6e-4,0.0058,0.0205,0.0269,0.0359,0.041,0.057,0.0922,0.0756,0.0769,0.0685,0.0634,0.0474,0.041,0.0314,0.0243,0.0211,0.0173,0.016,0.0102,0.0109,0.0135,0.0115,0.0154,0.0173,0.0173,0.1409
2010,7e-4,0.0046,0.0124,0.0163,0.0274,0.0333,0.045,0.0581,0.0685,0.0763,0.0789,0.075,0.0502,0.0554,0.0391,0.0241,0.0261,0.0124,0.0111,0.0163,0.0111,0.0085,0.0157,0.0085,0.0124,0.0176,0.0078,0.0157,0.1716
2011,0,0.0027,0.0088,0.0143,0.0258,0.0306,0.0354,0.0428,0.0428,0.0469,0.0544,0.0789,0.0537,0.0748,0.0659,0.0462,0.0415,0.0354,0.0265,0.0177,0.017,0.0102,0.0088,0.0088,0.015,0.0102,0.017,0.0109,0.157
2012,6e-4,0.0122,0.0251,0.0392,0.0386,0.0373,0.0495,0.0444,0.0521,0.0547,0.0637,0.0656,0.0733,0.0637,0.0489,0.0347,0.0251,0.0212,0.0141,0.0129,0.0122,0.0103,0.0084,0.0096,0.009,0.0129,0.0116,0.0116,0.1376
2013,0,0.0015,0.0183,0.0335,0.0442,0.0457,0.0381,0.0564,0.0564,0.0495,0.0633,0.0457,0.0587,0.0549,0.0534,0.0541,0.0221,0.0221,0.0244,0.0168,0.0175,0.0152,0.0114,0.0061,0.0168,0.0221,0.0152,0.016,0.1204
2014,0,0,0.0045,0.0208,0.041,0.0588,0.0536,0.0469,0.0477,0.0506,0.064,0.0484,0.0588,0.0514,0.0581,0.0432,0.0305,0.0313,0.0119,0.0194,0.0141,0.0127,0.0097,0.0082,0.0156,0.0149,0.0305,0.0201,0.1333
2015,0,0.0017,0.0141,0.0282,0.0265,0.0572,0.0613,0.053,0.053,0.0439,0.0514,0.0456,0.0381,0.0621,0.0431,0.0555,0.0489,0.0298,0.0381,0.0166,0.0224,0.0224,0.0108,0.0141,0.0116,0.0124,0.0207,0.0124,0.1052
2016,0.0035,0.0161,0.0301,0.0301,0.0484,0.0554,0.0498,0.0491,0.0456,0.042,0.042,0.0378,0.0392,0.0463,0.0392,0.0526,0.0448,0.0392,0.0357,0.0294,0.0252,0.0182,0.0147,0.0133,0.0077,0.0112,0.0133,0.0077,0.1121
2017,0.0021,0.0182,0.0519,0.0448,0.0336,0.0287,0.0364,0.0364,0.0357,0.042,0.0434,0.0399,0.0343,0.0357,0.035,0.0406,0.0477,0.0491,0.0463,0.0287,0.0315,0.0203,0.021,0.0161,0.014,0.0105,0.0126,0.0091,0.1338
