year,catch,fsh_cpue,srv1_cpue,srv2_cpue,mr
1980,1.8968537051999999,0.326177342234128,NA,NA,NA
1981,0.67366123064,0.444353815566616,NA,NA,NA
1982,1.16604441848,0.562530288445512,NA,NA,NA
1983,1.06837245312,0.690074791457304,NA,NA,NA
1984,2.1442972130399998,0.591596480134824,NA,NA,NA
1985,14.050751781755999,0.85254152035716,NA,NA,NA
1986,18.95812257968,0.716919024179296,NA,NA,NA
1987,17.92032222736,0.773099481433632,NA,NA,NA
1988,19.2720766453536,0.7164432628702959,0.229,NA,NA
1989,17.1852694514024,0.524298396324416,0.126,NA,NA
1990,15.1748047847584,0.635858603019168,0.122,NA,NA
1991,18.0902289908752,0.574774338158864,0.158,NA,NA
1992,19.6155144178232,0.6660737400693361,0.115,NA,NA
1993,26.4601438076864,0.719987301450504,0.228,NA,NA
1994,21.5145671823984,0.4502921182,0.172,NA,NA
1995,20.8491038106928,0.380265678056,0.152,NA,NA
1996,21.468924442039196,0.33133308028,0.16,NA,NA
1997,21.787604890993602,0.31107628402475235,NA,0.19,NA
1998,21.6347105943896,0.22774289072594625,NA,0.2,NA
1999,14.0731423982928,0.21515794964375423,NA,0.2,NA
2e3,14.4048632997328,0.21120615089128564,NA,0.17,NA
2001,10.251284796217599,0.2324912399878504,NA,0.25,NA
2002,9.5857473075792,0.28971792511339006,NA,0.22,NA
2003,9.597824376016,0.35019140810006677,NA,0.23,2.775
2004,10.571272134442403,0.3297373807810075,NA,0.21,2.675
2005,9.786417043408,0.3264579456783628,NA,0.26,1.748
2006,9.7100871713176,0.3406911701231544,NA,0.21,2.2215
2007,7.3289179109488005,0.38376084642253716,NA,0.23,2.7389
2008,7.4157617280848,0.42395661139184193,NA,0.22,1.7829
2009,5.4078362694568,0.3556312026173511,NA,0.22,2.4464
2010,5.1292681404016,0.3436504636443911,NA,0.22,2.2387
2011,4.2733643489328,0.4074168555249367,NA,0.25,NA
2012,4.8143555441136,0.41802095276752854,NA,0.27,1.8595
2013,4.7110474713576,0.38511812299663983,NA,0.21,1.8415
2014,3.8436310613368,0.39425038025354964,NA,0.21,NA
2015,3.8350556777807996,0.3432307836821674,NA,0.18,1.765
2016,3.1610695391911996,0.4109137448687601,NA,0.2,NA
2017,3.3768578138944,0.35970606124997406,NA,0.23,2.1227
