age,weight_kg
2,1.911
3,1.996
4,2.41
5,2.797
6,3.001
7,3.205
8,3.363
9,3.516
10,3.616
11,3.707
12,3.848
13,3.955
14,4.038
15,4.166
16,4.284
17,4.464
18,4.551
19,4.641
20,4.668
21,4.8
22,4.819
23,5.006
24,4.766
25,5.074
26,4.897
27,4.98
28,5.127
29,5.06
30,5.267
