age,prop_fem,prop_mature
2,0.5844196748388604,0.014
3,0.5833519647533878,0.0438
4,0.5823508506174563,0.1152
5,0.5814928200966089,0.2876
6,0.580816926027701,0.46
7,0.5802570895477048,0.6625
8,0.5795881404361426,0.8063
9,0.578420024103665,0.8903
10,0.5762605473878387,0.9406
11,0.5726340456208519,0.9646
12,0.5672117051182991,0.9759
13,0.5598994042024257,0.9872
14,0.5508475367560124,0.9919
15,0.5403845652415789,0.9944
16,0.5289122381175646,0.9962
17,0.5168153712096543,0.9969
18,0.5044235108634907,0.9977
19,0.4920252686446742,0.9985
20,0.4799027116483251,0.9988
21,0.46834456909126737,0.9991
22,0.45761697804387547,0.9993
23,0.4479033980967476,0.9994
24,0.4392484268068142,0.9995
25,0.4315398414914762,0.9996
26,0.4245424017674613,0.9997
27,0.4179705519979171,0.9997
28,0.41157005068413516,0.9997
29,0.4051773765171665,0.9998
30,0.39873760463323726,0.9998
31,0.392277822083562,0.9998
