fleet,log_a50,log_a95
srv_t1_f,0.693147181,1.252762968
srv_t1_m,1.386294361,2.079441542
srv_t2_f,-0.140291776,0.693147181
srv_t2_m,1.098612289,2.079441542
fsh_t2_f,0.290996765,1.098612289
fsh_t2_m,0.912548305,1.791759469
fsh_t1_f,0.60124783,2.079441542
fsh_t1_m,1.66250448,2.302585093
