fleet,a,b,a50,k,log_a50,log_k
srv_f,-3.1154906530968667,1.9287173448904107,1.6153173824824436,1.9287173448904107,0.4795314590277236,0.6568551938405196
srv_m,-2.870887360982025,1.9287084655033613,1.4885024939384865,1.9287084655033615,0.39777057694322526,0.6568505900516274
fsh_t2_f,-3.4661819318956266,1.7790774827559221,1.9483029634697278,1.7790774827559221,0.6669587185226603,0.5760949618420034
fsh_t2_m,-3.8227257577554252,1.7790973625419833,2.148688339514761,1.7790973625419835,0.7648575813240157,0.5761061359899449
fsh_t1_f,-2.1119321436785516,1.7790951994066586,1.1870821439925736,1.7790951994066586,0.17149831625971151,0.5761049201280783
fsh_t1_m,-7.275314910106023,1.779075614485253,4.089379254524276,1.779075614485253,1.4083931870262925,0.5760939117069372
