year,catch,sigma_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,upper_srv_cpue,lower_srv_cpue,mr,tau,sigma_mr,upper_mr,lower_mr,index
1998,2163.47105943896,0.05,3335.5861442339283,1403.2337414283484,0.2341493159896,0.022251214274031206,0.31316243344976513,0.17507177209744176,0.2043654685664879,0.05449408388902355,0.32098546856648785,0.13011568694658537,NA,NA,NA,NA,NA,23
1999,1407.31423982928,0.05,2169.7622709013613,912.7881870687672,0.2180012139936,0.021639019190023312,0.2904057169141402,0.1636487387634116,0.1949358482237743,0.06168961509980675,0.31488784822377425,0.1206778385926083,NA,NA,NA,NA,NA,24
2000,1440.48632997328,0.05,2220.906178640204,934.3037030543766,0.219120316176,0.02151979217488531,0.291668108274058,0.16461763078997801,0.17457196540958253,0.09629469254658773,0.3162799654095826,0.09635567990371716,NA,NA,NA,NA,NA,25
2001,1025.1284796217599,0.05,1580.517723020834,664.9013702440897,0.23519443731679998,0.023994231617484374,0.31805364600586217,0.17392167654555546,0.24972311984117224,0.05951180620917507,0.40005511984117215,0.15588261089613592,NA,NA,NA,NA,NA,26
2002,958.57473075792,0.05,1477.906799898701,621.7344114734427,0.2825420939264,0.024344959754039053,0.3829125763828936,0.208481099248327,0.21530610004023665,0.04872807481230401,0.33016210004023666,0.14040593002312174,NA,NA,NA,NA,NA,27
2003,959.7824376015999,0.05,1479.7688124255162,622.5177337117565,0.3360690797112,0.026076722995335366,0.46025858513010637,0.24538907037661495,0.2320784500011024,0.036844958494287816,0.3369384500011023,0.15985236162491392,NA,NA,NA,NA,NA,28
2004,1057.1272134442402,0.05,1629.852579017925,685.6558438418707,0.306564008732,0.026561234985781113,0.4210572158659823,0.22320361202347144,0.2126169829604044,0.04448585200425703,0.3200249829604042,0.1412576637767624,NA,NA,NA,NA,NA,29
2005,978.6417043408,0.05,1508.845563210433,634.7499100154714,0.3022078472416,0.026626865649436837,0.415234697112718,0.2199468964647005,0.25618311192640014,0.044340409865750274,0.3853471119264,0.17031342601272573,1.7275708293261414,5,0.03561190538149961,2.4926819710805903,1.1973051536312977,30
2006,971.0087171317599,0.05,1497.0772124102189,629.799131888403,0.3018099563392,0.02523570899060168,0.4112578170687518,0.2214894063162379,0.2138287332860047,0.043122125247687215,0.3198647332860047,0.1429439460517665,2.172791794335783,5,0.060555796894070646,3.4947427453829465,1.3508931917149145,31
2007,732.89179109488,0.05,1129.954428062846,475.3557879100477,0.341704234564,0.027223355959179685,0.47114538397818395,0.24782538021082617,0.22566793428921444,0.04199015726964794,0.33581993428921436,0.15164679450655474,2.7398747724446104,5,0.06406634222998586,4.4652839814572705,1.6811727540402666,32
2008,741.57617280848,0.05,1143.3437928933768,480.98850362898463,0.3974374918368,0.02769759492485857,0.5494990714841721,0.2874555538208517,0.2248532301392499,0.0631358203952963,0.36518923013925,0.13844596426016145,1.76978361277112,5,0.04276567128533193,2.643084677002368,1.1850297734635884,33
2009,540.78362694568,0.05,833.7668143045815,350.7538632566528,0.3607632178608,0.030443139618647308,0.5065592139471051,0.2569296851737245,0.2204055445062163,0.03548655032299575,0.31781754450621647,0.15285060528850541,2.4763061418773735,5,0.053346191554315414,3.871322488551941,1.583978634286625,34
2010,512.92681404016,0.05,790.8178694852016,332.6858518417836,0.3580367670672,0.0317485355876288,0.5063081915384902,0.2531863570731647,0.21793299290006923,0.04925611669176155,0.3349449929000692,0.14179877413050834,2.1960929841457775,5,0.04205368241681828,3.269002330256784,1.4753199624166273,35
2011,427.33643489328,0.05,658.8567408551304,277.1716782472023,0.381112761116,0.03571736736079689,0.5501942140456381,0.2639921194689503,0.25388705059725103,0.04274456443150987,0.37913105059725116,0.17001676428092186,NA,NA,NA,NA,NA,36
2012,481.43555441136004,0.05,742.2654246424504,312.26052751011815,0.4067347217016,0.03466444468212426,0.5840445218472085,0.28325431991802313,0.27114531636453104,0.033778573073843576,0.38756931636453096,0.18969453845327658,1.8518010423667988,5,0.039006228036820856,2.7170900890916325,1.262073390307492,37
2013,471.10474713576,0.05,726.3376416213188,305.55993529185463,0.3850220891272,0.036210000148911625,0.557217702270496,0.26603966189844924,0.21010868972634872,0.054535145152329045,0.3300606897263488,0.13375013405905428,2.009979505530933,5,0.040602235711320045,2.9717215249933657,1.3594872799070208,38
2014,384.36310613368,0.05,592.6015259509372,249.29904984578448,0.3776844674208,0.03809597554052413,0.5517226528163656,0.25854576788314554,0.20711234088044717,0.039574640988150334,0.30472034088044697,0.14077012916511553,NA,NA,NA,NA,NA,39
2015,383.50556777808,0.05,591.2793945341062,248.74284792669843,0.3341624964576,0.03477917389767082,0.4801178423338725,0.2325774303574503,0.18472056517318255,0.05486204612417844,0.29056056517318263,0.11743399238490072,1.886497892777188,5,0.05284981496908148,2.943264990531895,1.2091586421546183,40
2016,316.10695391912,0.05,487.36587946872817,205.02790721613545,0.3812242993888,0.04070015971977092,0.5638942769837176,0.25772910344447036,0.20228490713912275,0.04486282093055083,0.3049889071391226,0.13416613751666043,NA,NA,NA,NA,NA,41
2017,337.68578138944,0.05,520.6355816932077,219.02399867051625,0.3498597280056,0.03714438227304662,0.5086915068219393,0.24062094145204108,0.22757031247269469,0.07027846922988701,0.3792743124726947,0.1365456225634799,2.0617200047632926,5,0.056141517799437324,3.2596500464977898,1.304032432134286,42
2018,396.79726033656004,0.05,611.7721972171151,257.36387911515715,0.3802074368432,0.0367620001000839,0.551768923707803,0.26198955544554825,0.21402866395480255,0.06109817689321706,0.3449566639548026,0.13279427180534115,2.9451891116180566,5,0.051994121422209716,4.578838128643685,1.8943973688283577,43
2019,412.46991173408,0.05,635.9359033212003,267.52920726350203,0.3656596981416,0.04102227649700119,0.5416919473526074,0.24683219955265684,0.1920522258163907,0.050178223396806,0.2963242258163906,0.12447196087127936,3.5082204487622537,5,0.05385578449153883,5.495949958119554,2.239396430262384,44
2020,499.44750675864,0.05,770.0358070647461,323.94313318789284,0.36936663340239995,0.0397256188442876,0.5438342631159417,0.2508700152309761,0.3574487567026676,0.037530406328962984,0.5207167567026674,0.24537257928352038,3.0692428975417108,5,0.05587191011152792,4.847380070957035,1.94336978454639,45
2021,491.4047672164,0.05,757.635710256548,318.72658848305275,0.40391918543919997,0.039003895733023874,0.5926513961934958,0.27528950309365247,0.33592215949080106,0.022295277386535473,0.4494061594908009,0.25109512821279667,NA,NA,NA,NA,NA,46
2022,537.10499582568,0.05,828.0951918716934,348.36789220918683,0.4396520292192,0.04573372525297259,0.6654483999197688,0.29047166815618647,0.34964761742151207,0.020906230283211258,0.46352361742151194,0.263748063256434,3.925208106796537,5,0.04407762025803175,5.8972470134968225,2.612618845098264,47
