age,prop_fem,prop_mature
2,0.574972698351748,0.0738
3,0.5754196198184143,0.0738
4,0.5759263027813136,0.1719
5,0.5765494629854084,0.3502
6,0.5772913959341445,0.5285
7,0.5780346247784158,0.7069
8,0.5784965264690531,0.8223
9,0.5782358602468998,0.8988
10,0.576727434619731,0.9404
11,0.573488427973244,0.9642
12,0.5682101765756845,0.9771
13,0.5608416438659275,0.9854
14,0.5515906910038754,0.9904
15,0.5408468656230544,0.9932
16,0.5290657846232317,0.9949
17,0.516670451424467,0.9966
18,0.5040090387562427,0.9974
19,0.49137088293603304,0.998
20,0.47902714763244614,0.9984
21,0.46725238955547815,0.9987
22,0.4563026309915171,0.999
23,0.4463591375649429,0.9992
24,0.43747186112778086,0.9993
25,0.4295379324696567,0.9994
26,0.4223309217717853,0.9995
27,0.41557016920102013,0.9995
28,0.4090013855949144,0.9996
29,0.4024572007742967,0.9996
30,0.3958772318767287,0.9997
31,0.3892835682265694,0.9997
