year,catch,sigma_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,truesigma_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,upper_srv_cpue,lower_srv_cpue,mr,sigma_mr,upper_mr,lower_mr,index
1975,708.5963825,0.05,1092.496368,459.5977139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1976,698.6130385,0.05,1077.104296,453.1224874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1977,402.4952212,0.05,620.5571723,261.0595934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1978,567.7265472,0.05,875.3067421,368.2291212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1979,857.2672804,0.05,1321.71348,556.0260989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
1980,622.8746944,0.05,960.3327908,403.9983729,0.326177327,0.1,0.201,0.597371488,0.178099643,NA,NA,NA,NA,NA,NA,NA,NA,5
1981,480.8708791,0.05,741.3948222,311.8942774,0.444353828,0.1,0.201,0.813803676,0.242626484,NA,NA,NA,NA,NA,NA,NA,NA,6
1982,562.6484764,0.05,867.4774981,364.9354694,0.562530283,0.1,0.201,1.03023578,0.3071533,NA,NA,NA,NA,NA,NA,NA,NA,7
1983,839.8435879,0.05,1294.850062,544.7250403,0.690074775,0.1,0.201,1.263824801,0.37679526,NA,NA,NA,NA,NA,NA,NA,NA,8
1984,808.4327016,0.05,1246.421535,524.3518464,0.591596459,0.1,0.201,1.083468494,0.32302404,NA,NA,NA,NA,NA,NA,NA,NA,9
1985,1338.575393,0.05,2063.782418,868.2039674,0.852541541,0.1,0.201,1.561371583,0.465505512,NA,NA,NA,NA,NA,NA,NA,NA,10
1986,1895.812258,0.05,2922.916427,1229.629449,0.71691903,0.1,0.201,1.31298822,0.391452785,NA,NA,NA,NA,NA,NA,NA,NA,11
1987,1792.032223,0.05,2762.910937,1162.317411,0.773099483,0.1,0.201,1.415878882,0.422128487,NA,NA,NA,NA,NA,NA,NA,NA,12
1988,1927.207665,0.05,2971.321088,1249.992603,0.716443257,0.1,0.201,1.312116875,0.391193003,NA,NA,NA,NA,NA,NA,NA,NA,13
1989,1718.526945,0.05,2649.582319,1114.64167,0.524298375,0.1,0.201,0.960216651,0.286277878,NA,NA,NA,NA,NA,NA,NA,NA,14
1990,1517.480478,0.05,2339.613852,984.242336,0.635858601,0.1,0.201,1.164531584,0.347192095,NA,NA,NA,NA,NA,NA,NA,NA,15
1991,1809.022899,0.05,2789.106741,1173.337614,0.574774319,0.1,0.201,1.052659895,0.3138388,NA,NA,NA,NA,NA,NA,NA,NA,16
1992,1961.551442,0.05,3024.271474,1272.268079,0.666073725,0.1,0.201,1.219868519,0.363690185,NA,NA,NA,NA,NA,NA,NA,NA,17
1993,2646.014381,0.05,4079.559496,1716.21277,0.719987307,0.1,0.201,1.318607561,0.393128129,NA,NA,NA,NA,NA,NA,NA,NA,18
