year,Fmort,retro
1975,0.041451030019920225,retro_0
1976,0.04161162687629993,retro_0
1977,0.024196896310387947,retro_0
1978,0.03320968515337602,retro_0
1979,0.047593659839105254,retro_0
1980,0.03205322602211582,retro_0
1981,0.021674221587689547,retro_0
1982,0.022119795624303176,retro_0
1983,0.029616524218085756,retro_0
1984,0.026283633099407747,retro_0
1985,0.041023015490714985,retro_0
1986,0.05728412045665366,retro_0
1987,0.05500609913720308,retro_0
1988,0.06132570790306358,retro_0
1989,0.05734563660425227,retro_0
1990,0.05338683062130633,retro_0
1991,0.0679539997625439,retro_0
1992,0.08062832451684199,retro_0
1993,0.12217261027237976,retro_0
1994,0.11450477792094921,retro_0
1995,0.11864039496102105,retro_0
1996,0.13487784062667646,retro_0
1997,0.1512072799534357,retro_0
1998,0.16827466124841964,retro_0
1999,0.12296842659504624,retro_0
2000,0.12956643062833254,retro_0
2001,0.09376910772080042,retro_0
2002,0.08544416019653521,retro_0
2003,0.08281402765372639,retro_0
2004,0.0890225975786038,retro_0
2005,0.08245117222654517,retro_0
2006,0.08215075962506489,retro_0
2007,0.06381214500166657,retro_0
2008,0.06571439850541724,retro_0
2009,0.049739693408782405,retro_0
2010,0.04800804681920775,retro_0
2011,0.040629319048008976,retro_0
2012,0.04629380735468741,retro_0
2013,0.046287916936356706,retro_0
2014,0.03863361611768329,retro_0
2015,0.03941493252230628,retro_0
2016,0.032746282320004566,retro_0
2017,0.034480122430674026,retro_0
2018,0.03911560271709367,retro_0
2019,0.037923925399346255,retro_0
2020,0.04091081722800115,retro_0
2021,0.03499953987026824,retro_0
2022,0.036363748263165685,retro_0
2023,0.03532767880545234,retro_0
2024,0.034769763170358146,retro_0
2025,0.03558183273233221,retro_0
1975,0.0413382975265695,retro_1
1976,0.04150357287072211,retro_1
1977,0.024142950100414087,retro_1
1978,0.03314414208862292,retro_1
1979,0.04750458899783115,retro_1
1980,0.03199585604195642,retro_1
1981,0.021626141094782364,retro_1
1982,0.02206215782268201,retro_1
1983,0.029535785190661183,retro_1
1984,0.026213472250216436,retro_1
1985,0.04091426050415894,retro_1
1986,0.05713871681438861,retro_1
1987,0.054875063860322204,retro_1
1988,0.06118926994389413,retro_1
1989,0.057221549047923356,retro_1
1990,0.053272447594681145,retro_1
1991,0.06780648789940011,retro_1
1992,0.08045526445379028,retro_1
1993,0.12189024382605086,retro_1
1994,0.11422621923123397,retro_1
1995,0.11833881638500617,retro_1
1996,0.13452878533339938,retro_1
1997,0.1507984497627976,retro_1
1998,0.1678026282205951,retro_1
1999,0.12259744425978022,retro_1
2000,0.12916816790886979,retro_1
2001,0.09347009916997852,retro_1
2002,0.08517293626607231,retro_1
2003,0.08255504220328466,retro_1
2004,0.08874877966316637,retro_1
2005,0.08219344718461638,retro_1
2006,0.08188896223185853,retro_1
2007,0.06359868474633179,retro_1
2008,0.06548752191043686,retro_1
2009,0.04955891854312746,retro_1
2010,0.04782728482107369,retro_1
2011,0.04046568875595358,retro_1
2012,0.046089310755631496,retro_1
2013,0.046059445821904625,retro_1
2014,0.03842557810399813,retro_1
2015,0.03918023075453738,retro_1
2016,0.03253255143723565,retro_1
2017,0.03423088279961059,retro_1
2018,0.03879329933888562,retro_1
2019,0.037579959911184686,retro_1
2020,0.040529272526007576,retro_1
2021,0.03474324015000936,retro_1
2022,0.03616845144853066,retro_1
2023,0.03534680824579965,retro_1
2024,0.0351353232932082,retro_1
1975,0.04124114932347262,retro_2
1976,0.0414078090120198,retro_2
1977,0.02409179565832563,retro_2
1978,0.03307840111992765,retro_2
1979,0.04741282723291656,retro_2
1980,0.03193561569985099,retro_2
1981,0.0215807208330942,retro_2
1982,0.022011598795906386,retro_2
1983,0.029466718063933438,retro_2
1984,0.026153479801916915,retro_2
1985,0.04082152417633538,retro_2
1986,0.057012635880077864,retro_2
1987,0.05475807459695558,retro_2
1988,0.06106305623508845,retro_2
1989,0.05710394117063785,retro_2
1990,0.05316204787266304,retro_2
1991,0.06766230025399188,retro_2
1992,0.08028075424116367,retro_2
1993,0.12160331947040393,retro_2
1994,0.11393484781307991,retro_2
1995,0.11801706819322623,retro_2
1996,0.13415069798010382,retro_2
1997,0.15035431657068385,retro_2
1998,0.1672834858755017,retro_2
1999,0.12218228079039266,retro_2
2000,0.1287175425276152,retro_2
2001,0.09312994025213692,retro_2
2002,0.08486244603908664,retro_2
2003,0.08225801073971802,retro_2
2004,0.08843630239241498,retro_2
2005,0.08190034993501931,retro_2
2006,0.08159231299979483,retro_2
2007,0.0633553530609505,retro_2
2008,0.06522788842844363,retro_2
2009,0.04934939608410127,retro_2
2010,0.04761492173638583,retro_2
2011,0.04026932354524553,retro_2
2012,0.04583955056720845,retro_2
2013,0.04577604568698818,retro_2
2014,0.038162828313298904,retro_2
2015,0.038874287276931915,retro_2
2016,0.03224866023389848,retro_2
2017,0.033907010070829885,retro_2
2018,0.03840481011934537,retro_2
2019,0.03724953497735146,retro_2
2020,0.040291959772648635,retro_2
2021,0.03469485845223072,retro_2
2022,0.03622104690424939,retro_2
2023,0.035713297913729534,retro_2
1975,0.04117299037171668,retro_3
1976,0.04133558826888483,retro_3
1977,0.02404708647614778,retro_3
1978,0.03301518943110278,retro_3
1979,0.0473214209302263,retro_3
1980,0.031874548597521396,retro_3
1981,0.021542773483935112,retro_3
1982,0.021976155358414094,retro_3
1983,0.029421578915267022,retro_3
1984,0.026114282315144694,retro_3
1985,0.040761281508231995,retro_3
1986,0.05692678286177067,retro_3
1987,0.054672213455223356,retro_3
1988,0.06096264411925614,retro_3
1989,0.05700575081683237,retro_3
1990,0.053066759967516905,retro_3
1991,0.06753528862255329,retro_3
1992,0.08011884874236534,retro_3
1993,0.12133422981251588,retro_3
1994,0.11365010120267109,retro_3
1995,0.11769688338125192,retro_3
1996,0.13377060114685774,retro_3
1997,0.14991234497015438,retro_3
1998,0.16676614599194897,retro_3
1999,0.12176234550118813,retro_3
2000,0.12826099896148185,retro_3
2001,0.0927821434405494,retro_3
2002,0.08454121524926243,retro_3
2003,0.08194706350083318,retro_3
2004,0.08810748905084716,retro_3
2005,0.08159090821565212,retro_3
2006,0.08127924432101111,retro_3
2007,0.06310060639961435,retro_3
2008,0.06496009450988852,retro_3
2009,0.04913414640550425,retro_3
2010,0.04739633664554348,retro_3
2011,0.04006750025092604,retro_3
2012,0.04558453088841569,retro_3
2013,0.045487312807518485,retro_3
2014,0.03789670736554761,retro_3
2015,0.03857719492693555,retro_3
2016,0.031981591155326713,retro_3
2017,0.03359535039861973,retro_3
2018,0.03800368930139039,retro_3
2019,0.03682729275752616,retro_3
2020,0.039852061441540076,retro_3
2021,0.03446657434013716,retro_3
2022,0.03612340592402366,retro_3
1975,0.041079728141814896,retro_4
1976,0.041249329879020864,retro_4
1977,0.02400788378070149,retro_4
1978,0.03297094089281605,retro_4
1979,0.047262061925097375,retro_4
1980,0.031835873342413806,retro_4
1981,0.021504033804843843,retro_4
1982,0.02192510246309377,retro_4
1983,0.029347805817426947,retro_4
1984,0.02605020732861795,retro_4
1985,0.0406620227314294,retro_4
1986,0.05679664968992777,retro_4
1987,0.054559306959449105,retro_4
1988,0.06085090701855533,retro_4
1989,0.05690844804800361,retro_4
1990,0.052980512355881304,retro_4
1991,0.0674275485786099,retro_4
