year,rec,retro
1975,1096149.0047211365,retro_0
1976,1086155.7172636164,retro_0
1977,1113018.2435217476,retro_0
1978,16266693.291008243,retro_0
1979,1309897.7084370323,retro_0
1980,1533860.4474377008,retro_0
1981,1956367.0553873263,retro_0
1982,1843178.3942656596,retro_0
1983,1424067.153825706,retro_0
1984,1135218.4609724763,retro_0
1985,904511.7162699406,retro_0
1986,762830.2285196491,retro_0
1987,662473.7603670917,retro_0
1988,573632.1789916464,retro_0
1989,511619.0879556629,retro_0
1990,497741.1942283759,retro_0
1991,544696.699093169,retro_0
1992,616079.7637504962,retro_0
1993,582965.013202793,retro_0
1994,562208.2467923857,retro_0
1995,772411.5908335267,retro_0
1996,892824.5673427426,retro_0
1997,1068855.6149664568,retro_0
1998,1655536.1431113477,retro_0
1999,1455130.7504831909,retro_0
2000,1335959.7307269627,retro_0
2001,1023357.8854950684,retro_0
2002,802238.2373897448,retro_0
2003,652629.6208713043,retro_0
2004,604550.692473031,retro_0
2005,723333.0400559218,retro_0
2006,539825.1622577437,retro_0
2007,471130.82633821614,retro_0
2008,503111.13021963835,retro_0
2009,1111287.0886111967,retro_0
2010,624635.4821655722,retro_0
2011,304405.2969327795,retro_0
2012,353784.55758697505,retro_0
2013,373266.45827612706,retro_0
2014,521309.243797242,retro_0
2015,1472641.3731770106,retro_0
2016,1395729.0629583115,retro_0
2017,754651.6083267662,retro_0
2018,4998914.583258911,retro_0
2019,1715387.1688579952,retro_0
2020,2411868.3870228585,retro_0
2021,916296.6079089958,retro_0
2022,3265001.328451815,retro_0
2023,2506335.692760341,retro_0
2024,682690.3860599858,retro_0
2025,871463.7369595373,retro_0
1975,1065027.7678169475,retro_1
1976,1055364.709589202,retro_1
1977,1080828.8208435918,retro_1
1978,16503129.756872417,retro_1
1979,1270272.7510687194,retro_1
1980,1488975.470357316,retro_1
1981,1917599.2360552477,retro_1
1982,1852462.7090450036,retro_1
1983,1429528.2224526803,retro_1
1984,1137369.0214407619,retro_1
1985,904402.6489050367,retro_1
1986,762461.9688504637,retro_1
1987,662325.250282877,retro_1
1988,573489.2845716592,retro_1
1989,511413.14190375607,retro_1
1990,497652.401363649,retro_1
1991,545245.5582739217,retro_1
1992,617725.6015464276,retro_1
1993,583673.7687549804,retro_1
1994,561864.8521507538,retro_1
1995,774006.6347480692,retro_1
1996,893848.5299255905,retro_1
1997,1069404.2879394067,retro_1
1998,1661603.2808257218,retro_1
1999,1457104.0834595014,retro_1
2000,1339014.7851175203,retro_1
2001,1025291.2721267695,retro_1
2002,805743.6541143323,retro_1
2003,652235.403897738,retro_1
2004,605665.5960948626,retro_1
2005,726861.0724825719,retro_1
2006,541664.1559852783,retro_1
2007,471637.01354745665,retro_1
2008,503777.4105819887,retro_1
2009,1121854.6129707582,retro_1
2010,629834.9609835045,retro_1
2011,305744.621992891,retro_1
2012,357144.9489306243,retro_1
2013,376211.5104858086,retro_1
2014,538712.1358792626,retro_1
2015,1464734.5627105427,retro_1
2016,1420852.731949535,retro_1
2017,757630.8838177023,retro_1
2018,5020647.625443632,retro_1
2019,1608070.1762322637,retro_1
2020,2323865.4588745,retro_1
2021,718445.4721101535,retro_1
2022,3329292.809356396,retro_1
2023,752457.7833714151,retro_1
2024,848391.7324714678,retro_1
1975,1048083.1840663848,retro_2
1976,1038616.5018417061,retro_2
1977,1063313.1489089786,retro_2
1978,16648436.911766123,retro_2
1979,1248586.031675505,retro_2
1980,1464140.660741341,retro_2
1981,1894560.8728212528,retro_2
1982,1859009.7638769825,retro_2
1983,1433695.8626456286,retro_2
1984,1139402.9617519474,retro_2
1985,904975.3739065238,retro_2
1986,762846.5930464155,retro_2
1987,662828.0706063235,retro_2
1988,573958.5890657842,retro_2
1989,511811.86964306474,retro_2
1990,498121.78345756955,retro_2
1991,546174.5699932661,retro_2
1992,619423.5760496196,retro_2
1993,584791.523098257,retro_2
1994,562274.8944982159,retro_2
1995,774934.8545654117,retro_2
1996,895863.6554529497,retro_2
1997,1070329.25718565,retro_2
1998,1668205.2336074698,retro_2
1999,1460409.3043951634,retro_2
2000,1341718.2808893009,retro_2
2001,1028947.4994151023,retro_2
2002,808139.5460583885,retro_2
2003,652193.9359376587,retro_2
2004,607450.7421896035,retro_2
2005,731343.0311245797,retro_2
2006,543460.6573715388,retro_2
2007,473940.39632887667,retro_2
2008,503402.6288975315,retro_2
2009,1138932.952280204,retro_2
2010,633703.5014083285,retro_2
2011,309669.0515134558,retro_2
2012,361238.4659312008,retro_2
2013,377850.24632719584,retro_2
2014,593529.2924041928,retro_2
2015,1392831.6704702224,retro_2
2016,1476871.4253514837,retro_2
2017,810508.9143757601,retro_2
2018,4607821.724142546,retro_2
2019,1988632.1931273942,retro_2
2020,1782966.0035664968,retro_2
2021,1259994.2213871868,retro_2
2022,744708.87742710975,retro_2
2023,851368.099234454,retro_2
1975,1055026.4401606785,retro_3
1976,1045501.6301281902,retro_3
1977,1070416.3286893282,retro_3
1978,16634503.263060907,retro_3
1979,1256962.1167763085,retro_3
1980,1473552.8258736145,retro_3
1981,1902526.6052649722,retro_3
1982,1858887.7618664799,retro_3
1983,1434818.9717789032,retro_3
1984,1140930.3713680138,retro_3
1985,906607.4510244783,retro_3
1986,764374.8636190223,retro_3
1987,664244.8605380527,retro_3
1988,575279.1044418714,retro_3
1989,513059.75119492103,retro_3
1990,499353.6600376427,retro_3
1991,547496.6633977968,retro_3
1992,620849.4878433665,retro_3
1993,586158.1418088058,retro_3
1994,562866.8101112081,retro_3
1995,775738.7460829021,retro_3
1996,897507.3863410702,retro_3
1997,1073258.549229384,retro_3
1998,1673186.7861626958,retro_3
1999,1464812.65007535,retro_3
2000,1347099.1096318006,retro_3
2001,1030651.7096301339,retro_3
2002,811390.5024887605,retro_3
2003,652087.4278990034,retro_3
2004,609875.131998262,retro_3
2005,732320.8981724192,retro_3
2006,547094.5705561074,retro_3
2007,475341.60677207226,retro_3
2008,508220.73918231775,retro_3
2009,1149617.2489198798,retro_3
2010,641665.4100201,retro_3
2011,312871.98194389074,retro_3
2012,366046.0552518446,retro_3
2013,384162.66207398416,retro_3
2014,587404.3146464112,retro_3
2015,1435805.5652090926,retro_3
2016,1466595.041010209,retro_3
2017,750078.1845510529,retro_3
2018,4844678.345521592,retro_3
2019,1492471.4011262518,retro_3
2020,1622321.2993882985,retro_3
2021,1706066.0037638284,retro_3
2022,827012.8920066692,retro_3
1975,1017428.4733030704,retro_4
1976,1008325.0639999284,retro_4
1977,1031700.4407654374,retro_4
1978,16911395.770095892,retro_4
1979,1209532.4064572053,retro_4
1980,1419038.5989656856,retro_4
1981,1849492.6076421957,retro_4
1982,1870969.895909357,retro_4
1983,1440498.3087770948,retro_4
1984,1142155.1103609148,retro_4
1985,905120.1386543942,retro_4
1986,762708.6773658566,retro_4
1987,662938.0724612391,retro_4
1988,574049.9020971473,retro_4
1989,511816.42369250173,retro_4
1990,498267.7252460536,retro_4
1991,547177.2332641196,retro_4
1992,621549.781346546,retro_4
1993,583384.0017081972,retro_4
1994,560200.6473225176,retro_4
1995,774349.4977935116,retro_4
1996,896365.495271753,retro_4
1997,1070351.6423922346,retro_4
