2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5e-4,0.0043,0.0141,0.031,0.0531,0.0707,0.0725,0.0743,0.0636,0.0586,0.0516,0.0459,0.038,0.0367,0.0313,0.0292,0.0238,0.0219,0.0187,0.0169,0.0166,0.0149,0.0144,0.013,0.0152,0.0153,0.0162,0.0149,0.123
