Parameter,Estimate,se
log_srv_slx_pars,1.4118940435318859,NA
log_srv_slx_pars.1,1.4665655524633752,NA
log_srv_slx_pars.2,-0.5087775057232857,NA
log_srv_slx_pars.3,-0.4450601212331824,NA
log_srv_slx_pars.4,0.6451494587017365,NA
log_srv_slx_pars.5,0.9555902332642707,NA
log_srv_slx_pars.6,0.45532360731198723,NA
log_srv_slx_pars.7,0.3033113617559093,NA
fsh_logq,-17.645526820315226,NA
fsh_logq.1,-17.237430096414762,NA
srv_logq,-16.82292512401373,NA
srv_logq.1,-16.535720463207,NA
mr_logq,-0.03844725731425128,NA
log_rbar,13.582610268574147,NA
log_rinit,13.836912919241868,NA
log_sigma_r,-0.7208803536580164,NA
log_Fbar,-2.8063478074799484,NA
log_spr_Fxx,-2.3113460589958046,NA
log_spr_Fxx.1,-2.48710876790343,NA
log_spr_Fxx.2,-2.8310790191964275,NA
log_spr_Fxx.3,-3.187317097064079,NA
log_spr_Fxx.4,-3.586895437559294,NA
pred_rec,1061994.0816850793,NA
pred_rec.1,1077974.5252763245,NA
pred_rec.2,1086992.9363836744,NA
pred_rec.3,1066646.0573059244,NA
pred_rec.4,19526983.666972425,NA
pred_rec.5,1045790.8426774319,NA
pred_rec.6,1059249.8803147434,NA
pred_rec.7,1093565.1684445045,NA
pred_rec.8,1100239.9388361142,NA
pred_rec.9,1063047.7042919816,NA
pred_rec.10,960474.556688174,NA
pred_rec.11,833743.9357358633,NA
pred_rec.12,720036.5689530908,NA
pred_rec.13,616380.3546354343,NA
pred_rec.14,539730.2919917575,NA
pred_rec.15,511894.054610789,NA
pred_rec.16,531875.9669840299,NA
pred_rec.17,559935.4616240654,NA
pred_rec.18,536364.1196157186,NA
pred_rec.19,522000.8652390875,NA
pred_rec.20,641339.7825372953,NA
pred_rec.21,785054.3952808074,NA
pred_rec.22,1082209.3998749559,NA
pred_rec.23,1714832.895840372,NA
pred_rec.24,1475784.7594625172,NA
pred_rec.25,1418220.3603210293,NA
pred_rec.26,1056793.6064242632,NA
pred_rec.27,803576.6500484262,NA
pred_rec.28,669039.4653523385,NA
pred_rec.29,660349.7270512105,NA
pred_rec.30,706878.0275940523,NA
pred_rec.31,588688.3117585768,NA
pred_rec.32,532092.7008997478,NA
pred_rec.33,619994.9915515997,NA
pred_rec.34,1261360.3118014603,NA
pred_rec.35,709490.0465589423,NA
pred_rec.36,415311.5282139213,NA
pred_rec.37,454824.9158163114,NA
pred_rec.38,505306.0243559648,NA
pred_rec.39,830232.6719811374,NA
pred_rec.40,2528422.6020769356,NA
pred_rec.41,1492716.3840627554,NA
