fleet,a,b,a50,k,log_a50,log_k
srv1_f,,,,,0.9259181789147396,0.1348576588297714
srv1_m,-2.587428377,0.4907404026327521,5.272499192292591,0.4907404026327521,1.6625044801782898,-0.711840003
srv2_f,,,,,1.2649309190292677,-0.116971879
srv2_m,,,,,1.5424988806298938,-0.488635033
srv3_f,,,,,-0.029392161,3.0018107247696504
srv3_m,,,,,-0.114101954,3.0216679629158403
fsh_t2_f,-2.353483979,1.7592718639406293,1.3377602557727128,1.7592718639406293,0.29099676461436047,0.5649000097768521
fsh_t2_m,-2.243906475,0.9009279456067874,2.490661418921196,0.9009279456067874,0.9125483052920244,-0.104329996
fsh_t1_f,-0.895303809,0.4907404054759325,1.8243939147716932,0.4907404054759325,0.6012478303815784,-0.711839997
fsh_t1_m,-2.587428377,0.4907404026327521,5.272499192292591,0.4907404026327521,1.6625044801782898,-0.711840003
fsh_t3_f,,,,,0.4068740763160547,3.7473440866429124
fsh_t3_m,,,,,0.6882089985667786,3.0066101734959263
