age,prop_fem,prop_mature
2,0.5771354403244946,0.0284
3,0.5766940629704939,0.1035
4,0.5763267363209166,0.1787
5,0.5761273256633583,0.3414
6,0.5761609673662998,0.5041
7,0.5763813816735592,0.6668
8,0.5765563504067435,0.8295
9,0.5762490482114254,0.8992
10,0.5748866015521786,0.9403
11,0.5719038619770448,0.964
12,0.5669070822222076,0.9777
13,0.5597869983327445,0.9857
14,0.5507331758334906,0.9902
15,0.5401490129619171,0.9933
16,0.5285145947841988,0.9948
17,0.5162665913863685,0.9964
18,0.5037467918398293,0.9974
19,0.491224124867547,0.998
20,0.47894991852593055,0.9984
21,0.4671917866486001,0.9987
22,0.45621434792602816,0.999
23,0.4462161473844683,0.9992
24,0.43726289377233696,0.9993
25,0.429259268127593,0.9994
26,0.42197800804294955,0.9995
27,0.4151337664106878,0.9995
28,0.40846884059847444,0.9996
29,0.40181633957997565,0.9996
30,0.39511984976794584,0.9997
31,0.38840678831713654,0.9997
