fleet,a,b,a50,k,log_a50,log_k
srv_f,-3.2615686326839866,3.752791755051538,0.8691046147960839,3.752791755051538,-0.14029177569655027,1.3225000310172106
srv_m,-1.4556248984990505,2.0304551693113386,0.7168958568992927,2.0304551693113386,-0.332824697329168,0.7082599892554841
fsh_t2_f,-2.3534839786789536,1.7592718639406293,1.3377602557727128,1.7592718639406293,0.29099676461436047,0.5649000097768521
fsh_t2_m,-2.243906475350759,0.9009279456067874,2.490661418921196,0.9009279456067874,0.9125483052920244,-0.10432999615128868
fsh_t1_f,-0.8953038094828846,0.4907404054759325,1.8243939147716932,0.4907404054759325,0.6012478303815784,-0.7118399967534499
fsh_t1_m,-2.587428376506526,0.4907404026327521,5.272499192292591,0.4907404026327521,1.6625044801782898,-0.7118400025471046
fsh_t3_f,-4.62367566681044,2.480400371610283,1.8640844114245705,2.480400371610283,0.6227700003370789,0.9084199873122664
fsh_t3_m,-1.8388309179288826,0.4792801438987806,3.8366515728580364,0.4792801438987806,1.3445999999635998,-0.7354700009670272
