Parameter,Estimate,se,,,,
log_rinit_devs.19,0.097378091,0.4670416275562052,,,,
log_rinit_devs.20,0.09905877,0.4674167447264414,,,,
log_rinit_devs.21,0.10040618738274792,0.4677190597895556,,,,
log_rinit_devs.22,0.1015238234099162,0.46797101698779303,,,,
log_rinit_devs.23,0.10257459680787143,0.4682094693715277,,,,
log_rinit_devs.24,0.103760444,0.4684815068144738,,,,
log_rinit_devs.25,0.10478425413811165,0.46871762030714936,,,,
log_rinit_devs.26,0.10567754697935305,0.46892462880717056,,,,
log_rinit_devs.27,0.10645927164147487,0.46910656999873596,,,,
log_sigma_r,-0.755862463,0.087296457,,,,
log_Fbar,-2.762130014,0.3206796976896613,,,,
log_F_devs,-0.457432776,0.33683283830167876,,,,
log_F_devs.1,-0.445009624,0.3364189126726539,,,,
log_F_devs.2,-0.979629753,0.33563154361672287,,,,
log_F_devs.3,-0.625190127,0.33446603984164885,,,,
log_F_devs.4,-0.202880531,0.3331388441622868,,,,
log_F_devs.5,-0.526077899,0.3317077026499244,,,,
log_F_devs.6,-0.850265659,0.3293327491259377,,,,
log_F_devs.7,-0.816205344,0.3268108233151168,,,,
log_F_devs.8,-0.560797407,0.32522482203405245,,,,
log_F_devs.9,-0.727223579,0.32463742065053364,,,,
log_F_devs.10,-0.308909881,0.3244599353997785,,,,
log_F_devs.11,-0.021117103,0.3244579760539473,,,,
log_F_devs.12,-0.112134236,0.3245592546743782,,,,
log_F_devs.13,0.001327404,0.32436635661670343,,,,
log_F_devs.14,-0.063565145,0.32422130023060247,,,,
log_F_devs.15,-0.135888937,0.3241013582688999,,,,
log_F_devs.16,0.11218778045759248,0.3239556618308223,,,,
log_F_devs.17,0.27436549685315237,0.3238987514694421,,,,
log_F_devs.18,0.6875121242090056,0.3238427054304399,,,,
log_F_devs.19,0.6267839341832628,0.3239241682536379,,,,
log_F_devs.20,0.6867074694209109,0.3239314503008609,,,,
log_F_devs.21,0.8532471055073823,0.32390561891766523,,,,
log_F_devs.22,1.0090834787264351,0.3238589877514308,,,,
log_F_devs.23,1.1370050423121083,0.32379102729326403,,,,
log_F_devs.24,0.8497466262511473,0.32395500734995836,,,,
log_F_devs.25,0.9351685179482282,0.3238589401643006,,,,
log_F_devs.26,0.6385382721271385,0.323902667,,,,
log_F_devs.27,0.5578041286443705,0.32389586396647696,,,,
log_F_devs.28,0.532024828,0.3239100558570664,,,,
log_F_devs.29,0.6055532699018025,0.3239059240772251,,,,
log_F_devs.30,0.5199669114381146,0.323947415,,,,
log_F_devs.31,0.5038508840815724,0.32396319283116093,,,,
log_F_devs.32,0.23587335322534866,0.324051784,,,,
log_F_devs.33,0.2531892038338135,0.3240538332551189,,,,
log_F_devs.34,-0.042284277,0.32412791168053673,,,,
log_F_devs.35,-0.090909373,0.3241244775102741,,,,
log_F_devs.36,-0.267261586,0.3241499707555545,,,,
log_F_devs.37,-0.141854251,0.3241732772042085,,,,
log_F_devs.38,-0.151041017,0.324221943,,,,
log_F_devs.39,-0.349114448,0.3242443880265228,,,,
log_F_devs.40,-0.343715167,0.32427895768621595,,,,
log_F_devs.41,-0.53086561,0.32431888005942067,,,,
log_F_devs.42,-0.470432599,0.32436084748857563,,,,
log_F_devs.43,-0.325149589,0.324427899,,,,
log_F_devs.44,-0.314048584,0.32454378953993684,,,,
log_F_devs.45,-0.187605324,0.32468808833804863,,,,
log_F_devs.46,-0.299778256,0.32485178160663974,,,,
log_F_devs.47,-0.336092436,0.3253047774873817,,,,
log_F_devs.48,-0.337455313,0.32519332603622647,,,,
log_spr_Fxx,-2.306355565,0.2935180020004401,,,,
log_spr_Fxx.1,-2.482348269,0.2813592172143141,,,,
log_spr_Fxx.2,-2.826402568,0.27312195436831943,,,,
log_spr_Fxx.3,-3.182300202,0.2847213104776008,,,,
log_spr_Fxx.4,-3.580986067,0.3235961709175059,,,,
pred_rec,1082879.1510346993,568945.4890365253,,,,
pred_rec.1,1104131.2563665227,588027.4007144588,,,,
pred_rec.2,1122286.2690650653,606365.3239958006,,,,
pred_rec.3,1107052.4006279244,595598.5482237017,,,,
pred_rec.4,17983863.549435075,1943054.7289381705,,,,
pred_rec.5,1046209.2672837507,541914.0122059047,,,,
pred_rec.6,1032784.212214486,524591.4512294389,,,,
pred_rec.7,1043321.9574599881,522085.2977707242,,,,
pred_rec.8,1050830.0617619061,513541.75661476346,,,,
pred_rec.9,1031865.8639303497,486339.6150684382,,,,
