Likelihood component,Likelihood,Percent of data likelihood
Catch,17.25325984383099,0.9623983467273296
Fishery CPUE,177.50920807254963,9.901582073429577
Survey CPUE,107.44830130439266,5.9935379441341725
Mark-recapture abundance,79.72813506662604,4.447288574466668
Fishery ages,228.745154088444,12.759557330571395
Survey ages,273.7741379125082,15.271304094913207
Fishery lengths,368.3332323634031,20.545873480136578
Survey lengths,539.94438625288694,30.118458155621074
Data likelihood,1792.7358149046415,100
Fishing mortality penalty,1.3819320437599654,0.07708509152719038
Recruitment likelihood,-11.645640403377062,-0.6496015925244686
SPR penalty,2.9324511627204124e-23,1.6357408260270598e-24
Sum of catchability priors,8.900831422822565,0.49649431605158256
Total likelihood,1791.3729379678468,99.9239778150543
