age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,2.15,LL fishery,58.21639375286454,4.74,2.99
3,Female,2.37,LL fishery,59.98497055423319,5.22,3.29
4,Female,2.58,LL fishery,61.64859668145844,5.69,3.58
5,Female,2.8,LL fishery,63.21350010495957,6.17,3.89
6,Female,3.01,LL fishery,64.68553921567613,6.64,4.18
7,Female,3.21,LL fishery,66.07022475660959,7.08,4.46
8,Female,3.42,LL fishery,67.37274045290573,7.54,4.75
9,Female,3.61,LL fishery,68.59796241770948,7.96,5.01
10,Female,3.81,LL fishery,69.75047740643961,8.4,5.29
11,Female,3.99,LL fishery,70.8345999878205,8.8,5.54
12,Female,4.17,LL fishery,71.85438869595258,9.19,5.79
13,Female,4.34,LL fishery,72.81366122388856,9.57,6.03
14,Female,4.51,LL fishery,73.71600871559413,9.94,6.26
15,Female,4.67,LL fishery,74.56480920979708,10.3,6.49
16,Female,4.82,LL fishery,75.3632402860528,10.63,6.7
17,Female,4.97,LL fishery,76.11429096036882,10.96,6.9
18,Female,5.11,LL fishery,76.82077287492031,11.27,7.1
19,Female,5.25,LL fishery,77.48533082374696,11.57,7.29
20,Female,5.37,LL fishery,78.11045265383524,11.84,7.46
21,Female,5.5,LL fishery,78.69847857865169,12.13,7.64
22,Female,5.61,LL fishery,79.25160993899374,12.37,7.79
23,Female,5.72,LL fishery,79.77191744395508,12.61,7.94
24,Female,5.83,LL fishery,80.26134892285678,12.85,8.1
25,Female,5.92,LL fishery,80.72173661716398,13.05,8.22
26,Female,6.02,LL fishery,81.15480403968687,13.27,8.36
27,Female,6.11,LL fishery,81.56217242674339,13.47,8.49
28,Female,6.19,LL fishery,81.94536680743886,13.65,8.6
29,Female,6.27,LL fishery,82.30582171278284,13.82,8.71
30,Female,6.35,LL fishery,82.64488654601637,14,8.82
31,Female,6.42,LL fishery,82.96383063425388,14.15,8.91
2,Male,1.98,LL fishery,56.70052056733952,4.37,2.75
3,Male,2.11,LL fishery,57.703262329599,4.65,2.93
4,Male,2.23,LL fishery,58.63531420642452,4.92,3.1
5,Male,2.35,LL fishery,59.50165959442998,5.18,3.26
6,Male,2.47,LL fishery,60.30693057770901,5.45,3.43
7,Male,2.57,LL fishery,61.05543269417331,5.67,3.57
8,Male,2.67,LL fishery,61.7511679559484,5.89,3.71
9,Male,2.77,LL fishery,62.397856246909775,6.11,3.85
10,Male,2.85,LL fishery,62.99895521176536,6.28,3.96
11,Male,2.93,LL fishery,63.5576787430254,6.46,4.07
12,Male,3.01,LL fishery,64.07701416470373,6.64,4.18
13,Male,3.08,LL fishery,64.55973820462658,6.79,4.28
14,Male,3.14,LL fishery,65.0084318407479,6.92,4.36
15,Male,3.2,LL fishery,65.42549410084985,7.05,4.44
16,Male,3.26,LL fishery,65.81315488941141,7.19,4.53
17,Male,3.31,LL fishery,66.1734869102263,7.3,4.6
18,Male,3.36,LL fishery,66.50841674851696,7.41,4.67
19,Male,3.4,LL fishery,66.81973517179702,7.5,4.72
20,Male,3.44,LL fishery,67.10910670455807,7.58,4.78
21,Male,3.48,LL fishery,67.37807852797359,7.67,4.83
22,Male,3.51,LL fishery,67.62808875220392,7.74,4.88
23,Male,3.54,LL fishery,67.86047410553195,7.8,4.91
24,Male,3.57,LL fishery,68.07647708144083,7.87,4.96
25,Male,3.6,LL fishery,68.27725258184695,7.94,5
26,Male,3.62,LL fishery,68.4638740920077,7.98,5.03
27,Male,3.65,LL fishery,68.6373394201191,8.05,5.07
28,Male,3.67,LL fishery,68.79857603229138,8.09,5.1
29,Male,3.69,LL fishery,68.94844601142692,8.14,5.13
30,Male,3.7,LL fishery,69.08775066651413,8.16,5.14
31,Male,3.72,LL fishery,69.21723481698173,8.2,5.17
2,Combined,1.99,LL fishery,NA,4.39,2.77
3,Combined,2.22,LL fishery,NA,4.89,3.08
4,Combined,2.45,LL fishery,NA,5.4,3.4
5,Combined,2.66,LL fishery,NA,5.86,3.69
6,Combined,2.87,LL fishery,NA,6.33,3.99
7,Combined,3.06,LL fishery,NA,6.75,4.25
8,Combined,3.23,LL fishery,NA,7.12,4.49
9,Combined,3.4,LL fishery,NA,7.5,4.72
10,Combined,3.55,LL fishery,NA,7.83,4.93
11,Combined,3.7,LL fishery,NA,8.16,5.14
12,Combined,3.83,LL fishery,NA,8.44,5.32
13,Combined,3.95,LL fishery,NA,8.71,5.49
14,Combined,4.06,LL fishery,NA,8.95,5.64
15,Combined,4.16,LL fishery,NA,9.17,5.78
16,Combined,4.25,LL fishery,NA,9.37,5.9
17,Combined,4.33,LL fishery,NA,9.55,6.02
18,Combined,4.41,LL fishery,NA,9.72,6.12
19,Combined,4.48,LL fishery,NA,9.88,6.22
20,Combined,4.54,LL fishery,NA,10.01,6.31
21,Combined,4.59,LL fishery,NA,10.12,6.38
22,Combined,4.64,LL fishery,NA,10.23,6.44
23,Combined,4.69,LL fishery,NA,10.34,6.51
24,Combined,4.73,LL fishery,NA,10.43,6.57
25,Combined,4.77,LL fishery,NA,10.52,6.63
26,Combined,4.8,LL fishery,NA,10.58,6.67
27,Combined,4.83,LL fishery,NA,10.65,6.71
28,Combined,4.86,LL fishery,NA,10.71,6.75
29,Combined,4.89,LL fishery,NA,10.78,6.79
30,Combined,4.91,LL fishery,NA,10.82,6.82
31,Combined,4.93,LL fishery,NA,10.87,6.85
