Source,Sex,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
LL survey,Female,252,196,129,206,181,294,386,395,502,416,408,336,365,320,365,405,254,285,290,315,347,347,269,375,369,339,367,1287,369
LL survey,Male,268,153,144,174,261,344,394,342,366,316,329,270,253,285,311,319,280,275,201,237,250,215,198,239,274,307,302,1062,269
LL survey,Sex combined,520,349,273,380,442,638,780,737,868,732,737,606,618,605,676,724,534,560,491,552,597,562,467,614,643,646,669,2349,638
LL fishery,Female,0,0,0,0,0,1237,1017,1512,1244,1068,983,1014,1045,979,918,922,655,777,753,913,830,809,805,782,498,818,568,1836,1103
LL fishery,Male,0,0,0,0,0,1008,756,751,502,604,510,517,514,548,547,600,652,560,450,500,589,503,492,511,239,317,319,772,562
LL fishery,Sex combined,0,0,0,0,0,2245,1773,2263,1746,1672,1493,1531,1559,1527,1465,1522,1307,1337,1203,1413,1419,1312,1297,1293,737,1135,887,2608,1665
Pot fishery,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,590,1266,829
Pot fishery,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,255,514,342
Pot fishery,Sex combined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,845,1780,1171
