age,probability
2,0.0869
3,0.0869
4,0.1983
5,0.3406
6,0.4828
7,0.6251
8,0.7673
9,0.9096
10,0.9469
11,0.9637
12,0.9804
13,0.9843
14,0.9881
15,0.992
16,0.9958
17,0.997
18,0.9976
19,0.9981
20,0.9987
21,0.9988
22,0.999
23,0.9992
24,0.9993
25,0.9995
26,0.9996
27,0.9996
28,0.9997
29,0.9997
30,0.9997
31,0.9998
