retro,mgc
retro_0,0.0011392735154645006
retro_1,0.0011359044873482382
retro_2,2.1603847589557468e-4
retro_3,1.612112333917448e-4
retro_4,5.266444914367897e-4
retro_5,5.218157891213501e-4
retro_6,2.726514064957247e-4
retro_7,3.7476774541633784e-4
retro_8,2.6577710091724334e-4
retro_9,1.2869411270610698e-4
retro_10,5.756970076912227e-4
