YEAR,PROJECT_CODE,TRIP_NO,EFFORT_NO,SPECIES_CODE,MANAGEMENT_AREA,LENGTH,TAG_NO,TAG_BATCH_NO,DISCARD_STATUS,RELEASE_CONDITION_CODE,COMMENTS,TIME_SECOND_ANCHOR_OVERBOARD,STAT
2019,66,1,1,710,NA,67,T-090278,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,64,T-090279,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,63,T-090280,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,66,T-090281,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,61,T-090282,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,68,T-090283,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,61,T-090284,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,61,T-090285,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,58,T-090286,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,59,T-090287,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,63,T-090288,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,61,T-090289,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,59,T-090290,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,63,T-090291,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,59,T-090292,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,64,T-090293,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,59,T-090294,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,64,T-090295,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,61,T-090296,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,64,T-090297,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,57,T-090298,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,60,T-090299,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,60,T-090324,28,Tagged and released,01,Tags out of order,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,57,T-090323,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,58,T-090322,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,67,T-090321,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
2019,66,1,1,710,NA,60,T-090320,28,Tagged and released,01,NA,2019-05-13T09:00:00Z,345803
