YEAR,PROJECT_CODE,TRIP_NO,TIME_SECOND_ANCHOR_OVERBOARD,SPECIES_CODE,STAT,MANAGEMENT_AREA,LENGTH,TAG_NO,TAG_BATCH_NO,DISCARD_STATUS,RELEASE_CONDITION_CODE,COMMENTS
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,54,T-080252,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,64,T-080253,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,57,T-080255,26,Tagged and released,01,void 080254
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,63,T-080256,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,65,T-080257,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,62,T-080258,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,53,T-080261,26,Tagged and released,01,void 080259 and 080260
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,54,T-080262,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,63,T-080264,26,Tagged and released,01,void 080263
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,58,T-080265,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,52,T-080268,26,Tagged and released,01,void 080266 and 080267
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,57,T-080270,26,Tagged and released,01,void 080269
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,67,T-080271,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,63,T-080272,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,54,T-080273,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,60,T-080274,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,56,T-080275,26,Tagged and released,01,Genetic
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,60,T-080276,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,56,T-080277,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,52,T-080278,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,52,T-080279,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,52,T-080280,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,60,T-080281,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,61,T-080282,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,51,T-080283,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,58,T-080284,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,51,T-080285,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,42,T-080286,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,48,T-080287,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,47,T-080288,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,50,T-080289,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,57,T-080290,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,71,T-080291,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,52,T-080292,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,64,T-080293,26,Tagged and released,01,NA
2018,11,1,2018-05-14T23:02:00Z,710,345803,NSEI,62,T-080294,26,Tagged and released,01,NA
