STAT,YEAR,PROJECT_CODE,TRIP_NO,TARGET_SPECIES_CODE,ADFG_NO,VESSEL_NAME,TIME_FIRST_BUOY_ONBOARD,NUMBER_OF_STATIONS,HOOKS_PER_SET,HOOK_SIZE,HOOK_SPACING_INCHES,SAMPLE_FREQ,LAST_SKATE_SAMPLED,EFFORT_NO,STATION_NO,SPECIES_CODE,START_LAT,START_LON,END_LAT,END_LON,DEPTH_METERS,LENGTH,WEIGHT,AGE,AGE_TYPE_CODE,AGE_READABILITY_CODE,SEX_CODE,MATURITY_CODE,OTOLITH_CONDITION_CODE,STAT_AREA_TYPE,REGION,WATERS,START_DATE,END_DATE,G_MGT_AREA_DISTRICT,G_NMFS_AREA
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,70,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,96,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,78,5.3,22,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,61,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,65,2.7,12,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,87,7,19,NA,01,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,68,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,107,13.6,27,NA,03,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,80,5.2,13,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,69,3.2,15,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,77,4.3,16,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,71,3.9,12,NA,03,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,60,2.4,9,NA,02,01,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,65,3.2,16,NA,02,01,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-07T22:28:26Z,14,1125,13,78,20,20,8,53,710,56.420562999999994,-134.49466999999999,56.449234,-134.49855,704.0880000000001,59,2.2,7,NA,03,02,01,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-07T22:28:26Z,14,1125,13,78,20,20,8,53,710,56.420562999999994,-134.49466999999999,56.449234,-134.49855,704.0880000000001,68,4.4,18,NA,02,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,60,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,61,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,52,NA,NA,NA,NA,00,09,NA,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
345603,2018,603,1,710,33468,Masonic,2018-08-08T23:05:46Z,14,1125,13,78,20,20,11,52,710,56.234249999999996,-134.45512,56.261379999999996,-134.45513,720.5472000000001,71,4,19,NA,03,02,07,01,G,1,STATE,1985-01-01T09:00:00Z,NA,NSEI,659
