month,length_mm,girth_mm
October,483.8982529,236.5244709
October,499.2995491,245.1361332
October,512.3906508,252.025463
October,524.7116877,258.9147928
October,632.5207609,319.1964286
October,751.8808063,388.9508929
October,783.4534634,407.8965498
October,764.2018432,395.8402227
October,849.2940046,446.64903
October,878.5564673,463.8723545
October,909.3590597,481.9568452
October,940.5466844,501.7636684
October,975.5846332,522.4316578
May,971.3492768,496.5966711
May,951.7126241,485.4015101
May,911.2842217,462.150022
May,881.2516941,446.64903
May,450.0154013,208.1059854
May,460.0262438,213.2729828
May,470.0370863,218.4399802
May,490.0587713,228.7739749
May,513.9307804,241.6914683
May,774.2126857,385.506228
May,744.1801582,369.1440697
