age,probability
2,0.014
3,0.0438
4,0.1152
5,0.2876
6,0.46
7,0.6625
8,0.8063
9,0.8903
10,0.9406
11,0.9646
12,0.9759
13,0.9872
14,0.9919
15,0.9944
16,0.9962
17,0.9969
18,0.9977
19,0.9985
20,0.9988
21,0.9991
22,0.9993
23,0.9994
24,0.9995
25,0.9996
26,0.9997
27,0.9997
28,0.9997
29,0.9998
30,0.9998
31,0.9998
