Quantity,Value
Assessment year mark-recapture abundance estimate,3142733.4401957123
Assessment year available abundance,3424165.3172930116
Forecasted available abundance,3058464.1291021383
Forecasted spawning biomass,15645106.142185997
Forecasted exploitable abundance,2938120.4666384603
Forecasted exploitable biomass,24485612.531651095
F_50,0.06430206893595701
ABC,1338253.405004632
Mortality from discards,18709.8417771514
